game_pk,game_date,bucket,pitch_name
823809,2026-03-30,Inning_3_leadoff,Changeup
823809,2026-03-30,Inning_2_leadoff,Cutter
823809,2026-03-30,Batter_3,Curveball
823809,2026-03-30,Batter_2,4-Seam Fastball
823809,2026-03-30,Batter_1,4-Seam Fastball
823729,2026-04-05,Inning_3_leadoff,Curveball
823729,2026-04-05,Inning_2_leadoff,Cutter
823729,2026-04-05,Batter_3,Cutter
823729,2026-04-05,Batter_2,Sinker
823729,2026-04-05,Batter_1,4-Seam Fastball
822996,2026-04-11,Inning_3_leadoff,Cutter
822996,2026-04-11,Inning_2_leadoff,4-Seam Fastball
822996,2026-04-11,Batter_3,4-Seam Fastball
822996,2026-04-11,Batter_2,Cutter
822996,2026-04-11,Batter_1,4-Seam Fastball
823397,2026-04-17,Inning_3_leadoff,Sinker
823397,2026-04-17,Inning_2_leadoff,4-Seam Fastball
823397,2026-04-17,Batter_3,Cutter
823397,2026-04-17,Batter_2,Curveball
823397,2026-04-17,Batter_1,Cutter
822993,2026-04-22,Inning_3_leadoff,4-Seam Fastball
822993,2026-04-22,Inning_2_leadoff,Sinker
822993,2026-04-22,Batter_3,Cutter
822993,2026-04-22,Batter_2,Sinker
822993,2026-04-22,Batter_1,4-Seam Fastball
824447,2026-04-28,Inning_3_leadoff,Cutter
824447,2026-04-28,Inning_2_leadoff,Cutter
824447,2026-04-28,Batter_3,Sinker
824447,2026-04-28,Batter_2,Sinker
824447,2026-04-28,Batter_1,4-Seam Fastball
822984,2026-05-04,Inning_3_leadoff,Cutter
822984,2026-05-04,Inning_2_leadoff,Sinker
822984,2026-05-04,Batter_3,Sinker
822984,2026-05-04,Batter_2,Sinker
822984,2026-05-04,Batter_1,4-Seam Fastball
824765,2026-05-10,Inning_3_leadoff,4-Seam Fastball
824765,2026-05-10,Inning_2_leadoff,Curveball
824765,2026-05-10,Batter_3,Curveball
824765,2026-05-10,Batter_2,Sinker
824765,2026-05-10,Batter_1,Cutter
822981,2026-05-16,Inning_3_leadoff,Cutter
822981,2026-05-16,Inning_2_leadoff,Sinker
822981,2026-05-16,Batter_3,Sinker
822981,2026-05-16,Batter_2,Sinker
822981,2026-05-16,Batter_1,4-Seam Fastball
823546,2026-05-22,Inning_3_leadoff,4-Seam Fastball
823546,2026-05-22,Inning_2_leadoff,Sinker
823546,2026-05-22,Batter_3,Sinker
823546,2026-05-22,Batter_2,Sinker
823546,2026-05-22,Batter_1,4-Seam Fastball
822978,2026-05-29,Inning_3_leadoff,4-Seam Fastball
822978,2026-05-29,Inning_2_leadoff,Sinker
822978,2026-05-29,Batter_3,Cutter
822978,2026-05-29,Batter_2,4-Seam Fastball
822978,2026-05-29,Batter_1,Sinker
822973,2026-06-03,Inning_3_leadoff,Sinker
822973,2026-06-03,Inning_2_leadoff,Sinker
822973,2026-06-03,Batter_3,Sinker
822973,2026-06-03,Batter_2,Cutter
822973,2026-06-03,Batter_1,Cutter
822969,2026-06-09,Inning_3_leadoff,Cutter
822969,2026-06-09,Inning_2_leadoff,4-Seam Fastball
822969,2026-06-09,Batter_3,Curveball
822969,2026-06-09,Batter_2,4-Seam Fastball
822969,2026-06-09,Batter_1,4-Seam Fastball
823938,2026-06-15,Inning_3_leadoff,Sinker
823938,2026-06-15,Inning_2_leadoff,4-Seam Fastball
823938,2026-06-15,Batter_3,Cutter
823938,2026-06-15,Batter_2,4-Seam Fastball
823938,2026-06-15,Batter_1,4-Seam Fastball
822968,2026-06-21,Inning_3_leadoff,Cutter
822968,2026-06-21,Inning_2_leadoff,Curveball
822968,2026-06-21,Batter_3,Sinker
822968,2026-06-21,Batter_2,Cutter
822968,2026-06-21,Batter_1,Cutter
822962,2026-06-26,Inning_3_leadoff,Sinker
822962,2026-06-26,Inning_2_leadoff,Cutter
822962,2026-06-26,Batter_3,Sinker
822962,2026-06-26,Batter_2,Sinker
822962,2026-06-26,Batter_1,Sinker
824173,2026-07-03,Inning_3_leadoff,Cutter
824173,2026-07-03,Inning_2_leadoff,Cutter
824173,2026-07-03,Batter_3,Sinker
824173,2026-07-03,Batter_2,Cutter
824173,2026-07-03,Batter_1,Cutter
