bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,30,96.8
Batter_1,Curveball,1,3.2
Batter_2,4-Seam Fastball,26,83.9
Batter_2,Curveball,3,9.7
Batter_2,Sweeper,2,6.5
Batter_3,4-Seam Fastball,17,54.8
Batter_3,Curveball,10,32.3
Batter_3,Cutter,2,6.5
Batter_3,Sweeper,2,6.5
Inning_2_leadoff,4-Seam Fastball,20,64.5
Inning_2_leadoff,Curveball,4,12.9
Inning_2_leadoff,Cutter,5,16.1
Inning_2_leadoff,Sweeper,2,6.5
Inning_3_leadoff,4-Seam Fastball,18,58.1
Inning_3_leadoff,Curveball,5,16.1
Inning_3_leadoff,Cutter,3,9.7
Inning_3_leadoff,Sweeper,5,16.1
