bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,100.0
Batter_2,4-Seam Fastball,12,92.3
Batter_2,Slider,1,7.7
Batter_3,4-Seam Fastball,7,53.8
Batter_3,Changeup,1,7.7
Batter_3,Curveball,4,30.8
Batter_3,Cutter,1,7.7
Inning_2_leadoff,4-Seam Fastball,5,38.5
Inning_2_leadoff,Changeup,1,7.7
Inning_2_leadoff,Curveball,3,23.1
Inning_2_leadoff,Cutter,2,15.4
Inning_2_leadoff,Slider,2,15.4
Inning_3_leadoff,4-Seam Fastball,3,23.1
Inning_3_leadoff,Curveball,1,7.7
Inning_3_leadoff,Cutter,6,46.2
Inning_3_leadoff,Slider,3,23.1
