bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,50.0
Batter_1,Cutter,1,8.3
Batter_1,Sinker,5,41.7
Batter_2,4-Seam Fastball,5,41.7
Batter_2,Changeup,1,8.3
Batter_2,Cutter,1,8.3
Batter_2,Sinker,5,41.7
Batter_3,4-Seam Fastball,2,16.7
Batter_3,Cutter,3,25.0
Batter_3,Sinker,2,16.7
Batter_3,Sweeper,5,41.7
Inning_2_leadoff,4-Seam Fastball,6,50.0
Inning_2_leadoff,Cutter,2,16.7
Inning_2_leadoff,Sinker,3,25.0
Inning_2_leadoff,Sweeper,1,8.3
Inning_3_leadoff,4-Seam Fastball,4,33.3
Inning_3_leadoff,Changeup,1,8.3
Inning_3_leadoff,Cutter,1,8.3
Inning_3_leadoff,Sinker,3,25.0
Inning_3_leadoff,Sweeper,3,25.0
