bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,66.7
Batter_1,Sinker,9,33.3
Batter_2,4-Seam Fastball,13,48.1
Batter_2,Cutter,2,7.4
Batter_2,Sinker,8,29.6
Batter_2,Sweeper,4,14.8
Batter_3,4-Seam Fastball,8,29.6
Batter_3,Changeup,1,3.7
Batter_3,Cutter,1,3.7
Batter_3,Sinker,11,40.7
Batter_3,Sweeper,6,22.2
Inning_2_leadoff,4-Seam Fastball,8,29.6
Inning_2_leadoff,Cutter,1,3.7
Inning_2_leadoff,Sinker,11,40.7
Inning_2_leadoff,Slider,3,11.1
Inning_2_leadoff,Sweeper,4,14.8
Inning_3_leadoff,4-Seam Fastball,10,37.0
Inning_3_leadoff,Curveball,1,3.7
Inning_3_leadoff,Cutter,2,7.4
Inning_3_leadoff,Sinker,11,40.7
Inning_3_leadoff,Slider,1,3.7
Inning_3_leadoff,Sweeper,2,7.4
