bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,66.7
Batter_1,Changeup,1,3.7
Batter_1,Cutter,1,3.7
Batter_1,Sinker,7,25.9
Batter_2,4-Seam Fastball,14,50.0
Batter_2,Curveball,2,7.1
Batter_2,Cutter,1,3.6
Batter_2,Sinker,10,35.7
Batter_2,Slider,1,3.6
Batter_3,4-Seam Fastball,16,57.1
Batter_3,Curveball,5,17.9
Batter_3,Cutter,1,3.6
Batter_3,Sinker,6,21.4
Inning_2_leadoff,4-Seam Fastball,16,57.1
Inning_2_leadoff,Curveball,3,10.7
Inning_2_leadoff,Cutter,2,7.1
Inning_2_leadoff,Sinker,6,21.4
Inning_2_leadoff,Slider,1,3.6
Inning_3_leadoff,4-Seam Fastball,11,39.3
Inning_3_leadoff,Changeup,3,10.7
Inning_3_leadoff,Curveball,4,14.3
Inning_3_leadoff,Sinker,9,32.1
Inning_3_leadoff,Slider,1,3.6
