bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,1,9.1
Batter_1,Cutter,3,27.3
Batter_1,Sinker,5,45.5
Batter_1,Slider,2,18.2
Batter_2,4-Seam Fastball,1,9.1
Batter_2,Changeup,1,9.1
Batter_2,Curveball,1,9.1
Batter_2,Sinker,7,63.6
Batter_2,Slider,1,9.1
Batter_3,Changeup,1,9.1
Batter_3,Cutter,3,27.3
Batter_3,Sinker,5,45.5
Batter_3,Slider,2,18.2
Inning_2_leadoff,Cutter,3,27.3
Inning_2_leadoff,Sinker,6,54.5
Inning_2_leadoff,Slider,2,18.2
Inning_3_leadoff,4-Seam Fastball,1,9.1
Inning_3_leadoff,Changeup,1,9.1
Inning_3_leadoff,Cutter,2,18.2
Inning_3_leadoff,Sinker,6,54.5
Inning_3_leadoff,Slider,1,9.1
