game_pk,game_date,bucket,pitch_name
778562,2025-03-27,Inning_3_leadoff,Sinker
778562,2025-03-27,Inning_2_leadoff,Split-Finger
778562,2025-03-27,Batter_3,Sweeper
778562,2025-03-27,Batter_2,4-Seam Fastball
778562,2025-03-27,Batter_1,4-Seam Fastball
778479,2025-04-02,Inning_3_leadoff,4-Seam Fastball
778479,2025-04-02,Inning_2_leadoff,4-Seam Fastball
778479,2025-04-02,Batter_3,Split-Finger
778479,2025-04-02,Batter_2,4-Seam Fastball
778479,2025-04-02,Batter_1,Sinker
778408,2025-04-08,Inning_3_leadoff,Split-Finger
778408,2025-04-08,Inning_2_leadoff,Split-Finger
778408,2025-04-08,Batter_3,Split-Finger
778408,2025-04-08,Batter_2,Slider
778408,2025-04-08,Batter_1,4-Seam Fastball
778321,2025-04-14,Inning_3_leadoff,4-Seam Fastball
778321,2025-04-14,Inning_2_leadoff,Sinker
778321,2025-04-14,Batter_3,Split-Finger
778321,2025-04-14,Batter_2,Split-Finger
778321,2025-04-14,Batter_1,4-Seam Fastball
778254,2025-04-19,Inning_3_leadoff,4-Seam Fastball
778254,2025-04-19,Inning_2_leadoff,4-Seam Fastball
778254,2025-04-19,Batter_3,Split-Finger
778254,2025-04-19,Batter_2,4-Seam Fastball
778254,2025-04-19,Batter_1,4-Seam Fastball
778176,2025-04-25,Inning_3_leadoff,Curveball
778176,2025-04-25,Inning_2_leadoff,4-Seam Fastball
778176,2025-04-25,Batter_3,Curveball
778176,2025-04-25,Batter_2,4-Seam Fastball
778176,2025-04-25,Batter_1,Split-Finger
778100,2025-05-01,Inning_3_leadoff,4-Seam Fastball
778100,2025-05-01,Inning_2_leadoff,4-Seam Fastball
778100,2025-05-01,Batter_3,Sweeper
778100,2025-05-01,Batter_2,4-Seam Fastball
778100,2025-05-01,Batter_1,4-Seam Fastball
778030,2025-05-06,Inning_3_leadoff,Slider
778030,2025-05-06,Inning_2_leadoff,Sinker
778030,2025-05-06,Batter_3,4-Seam Fastball
778030,2025-05-06,Batter_2,Sweeper
778030,2025-05-06,Batter_1,4-Seam Fastball
777950,2025-05-12,Inning_3_leadoff,Split-Finger
777950,2025-05-12,Inning_2_leadoff,Sweeper
777950,2025-05-12,Batter_3,Sinker
777950,2025-05-12,Batter_2,Sweeper
777950,2025-05-12,Batter_1,4-Seam Fastball
777880,2025-05-18,Inning_3_leadoff,4-Seam Fastball
777880,2025-05-18,Inning_2_leadoff,Sweeper
777880,2025-05-18,Batter_3,4-Seam Fastball
