bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,20,83.3
Batter_1,Sinker,1,4.2
Batter_1,Split-Finger,3,12.5
Batter_2,4-Seam Fastball,7,29.2
Batter_2,Sinker,6,25.0
Batter_2,Slider,2,8.3
Batter_2,Split-Finger,2,8.3
Batter_2,Sweeper,7,29.2
Batter_3,4-Seam Fastball,11,45.8
Batter_3,Changeup,2,8.3
Batter_3,Sinker,2,8.3
Batter_3,Split-Finger,4,16.7
Batter_3,Sweeper,5,20.8
Inning_2_leadoff,4-Seam Fastball,11,47.8
Inning_2_leadoff,Curveball,1,4.3
Inning_2_leadoff,Sinker,3,13.0
Inning_2_leadoff,Split-Finger,1,4.3
Inning_2_leadoff,Sweeper,7,30.4
Inning_3_leadoff,4-Seam Fastball,11,47.8
Inning_3_leadoff,Sinker,4,17.4
Inning_3_leadoff,Split-Finger,1,4.3
Inning_3_leadoff,Sweeper,7,30.4
