bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,72.0
Batter_1,Changeup,2,8.0
Batter_1,Cutter,1,4.0
Batter_1,Sinker,4,16.0
Batter_2,4-Seam Fastball,13,52.0
Batter_2,Changeup,3,12.0
Batter_2,Cutter,2,8.0
Batter_2,Sinker,3,12.0
Batter_2,Slider,2,8.0
Batter_2,Slurve,1,4.0
Batter_2,Sweeper,1,4.0
Batter_3,4-Seam Fastball,8,32.0
Batter_3,Changeup,4,16.0
Batter_3,Cutter,4,16.0
Batter_3,Sinker,5,20.0
Batter_3,Slider,1,4.0
Batter_3,Slurve,1,4.0
Batter_3,Sweeper,2,8.0
Inning_2_leadoff,4-Seam Fastball,7,28.0
Inning_2_leadoff,Changeup,1,4.0
Inning_2_leadoff,Cutter,3,12.0
Inning_2_leadoff,Sinker,6,24.0
Inning_2_leadoff,Slider,3,12.0
Inning_2_leadoff,Slurve,1,4.0
Inning_2_leadoff,Sweeper,4,16.0
Inning_3_leadoff,4-Seam Fastball,6,24.0
Inning_3_leadoff,Changeup,2,8.0
Inning_3_leadoff,Cutter,4,16.0
Inning_3_leadoff,Sinker,4,16.0
Inning_3_leadoff,Slider,6,24.0
Inning_3_leadoff,Slurve,1,4.0
Inning_3_leadoff,Sweeper,2,8.0
