game_pk,game_date,bucket,pitch_name
778371,2025-04-10,Inning_3_leadoff,Sinker
778371,2025-04-10,Inning_2_leadoff,Cutter
778371,2025-04-10,Batter_3,Sinker
778371,2025-04-10,Batter_2,Cutter
778371,2025-04-10,Batter_1,Sinker
778310,2025-04-15,Inning_3_leadoff,Sinker
778310,2025-04-15,Inning_2_leadoff,Slider
778310,2025-04-15,Batter_3,Cutter
778310,2025-04-15,Batter_2,Sinker
778310,2025-04-15,Batter_1,Sinker
778226,2025-04-21,Inning_3_leadoff,Sinker
778226,2025-04-21,Inning_2_leadoff,Sinker
778226,2025-04-21,Batter_3,Cutter
778226,2025-04-21,Batter_2,Sinker
778226,2025-04-21,Batter_1,Cutter
778164,2025-04-26,Inning_3_leadoff,Sinker
778164,2025-04-26,Inning_2_leadoff,Cutter
778164,2025-04-26,Batter_3,Cutter
778164,2025-04-26,Batter_2,Sinker
778164,2025-04-26,Batter_1,Sinker
778080,2025-05-02,Inning_3_leadoff,Sinker
778080,2025-05-02,Inning_2_leadoff,Sinker
778080,2025-05-02,Batter_2,Curveball
778080,2025-05-02,Batter_1,Sinker
778015,2025-05-07,Inning_3_leadoff,Sinker
778015,2025-05-07,Inning_2_leadoff,Sinker
778015,2025-05-07,Batter_3,Sinker
778015,2025-05-07,Batter_2,Sinker
778015,2025-05-07,Batter_1,Sinker
777944,2025-05-13,Inning_3_leadoff,Sinker
777944,2025-05-13,Inning_2_leadoff,Curveball
777944,2025-05-13,Batter_3,Sinker
777944,2025-05-13,Batter_2,Sinker
777944,2025-05-13,Batter_1,Sinker
777794,2025-05-24,Inning_3_leadoff,Slider
777794,2025-05-24,Inning_2_leadoff,Sinker
777794,2025-05-24,Batter_3,Sinker
777794,2025-05-24,Batter_2,Sinker
777794,2025-05-24,Batter_1,Sinker
777568,2025-06-10,Inning_3_leadoff,Slider
777568,2025-06-10,Inning_2_leadoff,Sinker
777568,2025-06-10,Batter_3,Sinker
777568,2025-06-10,Batter_2,Cutter
777568,2025-06-10,Batter_1,Sinker
777492,2025-06-15,Inning_3_leadoff,Sinker
777492,2025-06-15,Inning_2_leadoff,Slider
777492,2025-06-15,Batter_3,Sinker
777492,2025-06-15,Batter_2,Sinker
777492,2025-06-15,Batter_1,Sinker
777401,2025-06-22,Inning_3_leadoff,Cutter
777401,2025-06-22,Inning_2_leadoff,Cutter
777401,2025-06-22,Batter_3,Slider
777401,2025-06-22,Batter_2,Cutter
777401,2025-06-22,Batter_1,Sinker
777321,2025-06-28,Inning_3_leadoff,Sinker
777321,2025-06-28,Inning_2_leadoff,Cutter
777321,2025-06-28,Batter_3,Sinker
777321,2025-06-28,Batter_2,Sinker
777321,2025-06-28,Batter_1,Sinker
777254,2025-07-04,Inning_3_leadoff,Sinker
777254,2025-07-04,Inning_2_leadoff,Slider
777254,2025-07-04,Batter_3,Sinker
777254,2025-07-04,Batter_2,Sinker
777254,2025-07-04,Batter_1,Sinker
777103,2025-07-18,Inning_3_leadoff,Sinker
777103,2025-07-18,Inning_2_leadoff,Cutter
777103,2025-07-18,Batter_3,Sinker
777103,2025-07-18,Batter_2,Cutter
777103,2025-07-18,Batter_1,Sinker
777024,2025-07-23,Inning_3_leadoff,Sinker
777024,2025-07-23,Inning_2_leadoff,Sinker
777024,2025-07-23,Batter_3,Slider
777024,2025-07-23,Batter_2,Sinker
777024,2025-07-23,Batter_1,Sinker
776956,2025-07-29,Inning_3_leadoff,Sinker
776956,2025-07-29,Inning_2_leadoff,Sinker
776956,2025-07-29,Batter_3,Sinker
776956,2025-07-29,Batter_2,Cutter
776956,2025-07-29,Batter_1,Sinker
