bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,7,38.9
Batter_2,Curveball,2,11.1
Batter_2,Cutter,7,38.9
Batter_2,Sinker,2,11.1
Batter_3,4-Seam Fastball,8,44.4
Batter_3,Curveball,1,5.6
Batter_3,Cutter,6,33.3
Batter_3,Sinker,2,11.1
Batter_3,Sweeper,1,5.6
Inning_2_leadoff,4-Seam Fastball,7,38.9
Inning_2_leadoff,Curveball,4,22.2
Inning_2_leadoff,Sinker,3,16.7
Inning_2_leadoff,Sweeper,4,22.2
Inning_3_leadoff,4-Seam Fastball,7,38.9
Inning_3_leadoff,Curveball,5,27.8
Inning_3_leadoff,Cutter,3,16.7
Inning_3_leadoff,Sinker,2,11.1
Inning_3_leadoff,Sweeper,1,5.6
