bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,76.5
Batter_1,Cutter,1,5.9
Batter_1,Sinker,3,17.6
Batter_2,4-Seam Fastball,6,35.3
Batter_2,Cutter,4,23.5
Batter_2,Sinker,7,41.2
Batter_3,4-Seam Fastball,7,41.2
Batter_3,Cutter,3,17.6
Batter_3,Sinker,7,41.2
Inning_2_leadoff,4-Seam Fastball,6,37.5
Inning_2_leadoff,Curveball,1,6.2
Inning_2_leadoff,Cutter,3,18.8
Inning_2_leadoff,Sinker,6,37.5
Inning_3_leadoff,4-Seam Fastball,6,35.3
Inning_3_leadoff,Changeup,1,5.9
Inning_3_leadoff,Curveball,2,11.8
Inning_3_leadoff,Cutter,1,5.9
Inning_3_leadoff,Sinker,7,41.2
