bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,62.5
Batter_1,Sinker,9,37.5
Batter_2,4-Seam Fastball,4,16.7
Batter_2,Changeup,1,4.2
Batter_2,Sinker,12,50.0
Batter_2,Slider,7,29.2
Batter_3,4-Seam Fastball,2,8.3
Batter_3,Curveball,1,4.2
Batter_3,Sinker,10,41.7
Batter_3,Slider,10,41.7
Batter_3,Sweeper,1,4.2
Inning_2_leadoff,4-Seam Fastball,6,25.0
Inning_2_leadoff,Changeup,1,4.2
Inning_2_leadoff,Curveball,1,4.2
Inning_2_leadoff,Sinker,14,58.3
Inning_2_leadoff,Slider,2,8.3
Inning_3_leadoff,4-Seam Fastball,6,26.1
Inning_3_leadoff,Changeup,4,17.4
Inning_3_leadoff,Curveball,1,4.3
Inning_3_leadoff,Sinker,6,26.1
Inning_3_leadoff,Slider,6,26.1
