game_pk,game_date,bucket,pitch_name
778522,2025-03-30,Inning_3_leadoff,4-Seam Fastball
778522,2025-03-30,Inning_2_leadoff,4-Seam Fastball
778522,2025-03-30,Batter_3,Slider
778522,2025-03-30,Batter_2,Slider
778522,2025-03-30,Batter_1,4-Seam Fastball
778436,2025-04-05,Inning_3_leadoff,Slider
778436,2025-04-05,Inning_2_leadoff,Slider
778436,2025-04-05,Batter_3,4-Seam Fastball
778436,2025-04-05,Batter_2,4-Seam Fastball
778436,2025-04-05,Batter_1,4-Seam Fastball
778370,2025-04-11,Inning_3_leadoff,Slider
778370,2025-04-11,Inning_2_leadoff,4-Seam Fastball
778370,2025-04-11,Batter_3,Slider
778370,2025-04-11,Batter_2,Slider
778370,2025-04-11,Batter_1,4-Seam Fastball
778296,2025-04-16,Inning_3_leadoff,4-Seam Fastball
778296,2025-04-16,Inning_2_leadoff,4-Seam Fastball
778296,2025-04-16,Batter_3,4-Seam Fastball
778296,2025-04-16,Batter_2,Slider
778296,2025-04-16,Batter_1,4-Seam Fastball
778226,2025-04-21,Inning_3_leadoff,Slider
778226,2025-04-21,Inning_2_leadoff,4-Seam Fastball
778226,2025-04-21,Batter_3,4-Seam Fastball
778226,2025-04-21,Batter_2,4-Seam Fastball
778226,2025-04-21,Batter_1,4-Seam Fastball
778159,2025-04-26,Inning_3_leadoff,Slider
778159,2025-04-26,Inning_2_leadoff,4-Seam Fastball
778159,2025-04-26,Batter_3,Slider
778159,2025-04-26,Batter_2,Changeup
778159,2025-04-26,Batter_1,Changeup
778082,2025-05-02,Inning_3_leadoff,4-Seam Fastball
778082,2025-05-02,Inning_2_leadoff,Slider
778082,2025-05-02,Batter_3,4-Seam Fastball
778082,2025-05-02,Batter_2,4-Seam Fastball
778082,2025-05-02,Batter_1,4-Seam Fastball
778020,2025-05-07,Inning_3_leadoff,4-Seam Fastball
778020,2025-05-07,Inning_2_leadoff,Knuckle Curve
778020,2025-05-07,Batter_3,Knuckle Curve
778020,2025-05-07,Batter_2,Slider
778020,2025-05-07,Batter_1,4-Seam Fastball
777930,2025-05-13,Inning_3_leadoff,Knuckle Curve
777930,2025-05-13,Inning_2_leadoff,4-Seam Fastball
777930,2025-05-13,Batter_3,Knuckle Curve
777930,2025-05-13,Batter_2,Slider
777930,2025-05-13,Batter_1,Changeup
777855,2025-05-19,Inning_3_leadoff,4-Seam Fastball
777855,2025-05-19,Inning_2_leadoff,4-Seam Fastball
777855,2025-05-19,Batter_3,4-Seam Fastball
777855,2025-05-19,Batter_2,Knuckle Curve
777855,2025-05-19,Batter_1,4-Seam Fastball
777778,2025-05-25,Inning_3_leadoff,4-Seam Fastball
777778,2025-05-25,Inning_2_leadoff,4-Seam Fastball
777778,2025-05-25,Batter_3,4-Seam Fastball
777778,2025-05-25,Batter_2,4-Seam Fastball
777778,2025-05-25,Batter_1,4-Seam Fastball
777705,2025-05-31,Inning_3_leadoff,Changeup
777705,2025-05-31,Inning_2_leadoff,4-Seam Fastball
