bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,14,56.0
Batter_1,Changeup,3,12.0
Batter_1,Knuckle Curve,8,32.0
Batter_2,4-Seam Fastball,15,60.0
Batter_2,Changeup,2,8.0
Batter_2,Knuckle Curve,1,4.0
Batter_2,Slider,7,28.0
Batter_3,4-Seam Fastball,14,56.0
Batter_3,Changeup,1,4.0
Batter_3,Knuckle Curve,5,20.0
Batter_3,Slider,5,20.0
Inning_2_leadoff,4-Seam Fastball,17,68.0
Inning_2_leadoff,Changeup,1,4.0
Inning_2_leadoff,Knuckle Curve,5,20.0
Inning_2_leadoff,Slider,2,8.0
Inning_3_leadoff,4-Seam Fastball,16,64.0
Inning_3_leadoff,Changeup,2,8.0
Inning_3_leadoff,Knuckle Curve,2,8.0
Inning_3_leadoff,Slider,5,20.0
