bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,2,22.2
Batter_1,Sinker,7,77.8
Batter_2,4-Seam Fastball,2,22.2
Batter_2,Cutter,2,22.2
Batter_2,Sinker,5,55.6
Batter_3,4-Seam Fastball,1,11.1
Batter_3,Cutter,4,44.4
Batter_3,Sinker,2,22.2
Batter_3,Sweeper,2,22.2
Inning_2_leadoff,4-Seam Fastball,1,11.1
Inning_2_leadoff,Cutter,2,22.2
Inning_2_leadoff,Sinker,6,66.7
Inning_3_leadoff,4-Seam Fastball,1,11.1
Inning_3_leadoff,Changeup,1,11.1
Inning_3_leadoff,Cutter,2,22.2
Inning_3_leadoff,Sinker,1,11.1
Inning_3_leadoff,Sweeper,4,44.4
