bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,88.9
Batter_1,Slider,2,11.1
Batter_2,4-Seam Fastball,6,33.3
Batter_2,Changeup,1,5.6
Batter_2,Sinker,3,16.7
Batter_2,Slider,8,44.4
Batter_3,4-Seam Fastball,11,61.1
Batter_3,Changeup,3,16.7
Batter_3,Slider,3,16.7
Batter_3,Sweeper,1,5.6
Inning_2_leadoff,4-Seam Fastball,7,38.9
Inning_2_leadoff,Curveball,2,11.1
Inning_2_leadoff,Sinker,2,11.1
Inning_2_leadoff,Slider,7,38.9
Inning_3_leadoff,4-Seam Fastball,9,52.9
Inning_3_leadoff,Curveball,1,5.9
Inning_3_leadoff,Sinker,1,5.9
Inning_3_leadoff,Slider,5,29.4
Inning_3_leadoff,Sweeper,1,5.9
