game_pk,game_date,bucket,pitch_name
823860,2026-06-05,Inning_2_leadoff,4-Seam Fastball
823860,2026-06-05,Batter_3,Changeup
823860,2026-06-05,Batter_2,4-Seam Fastball
823860,2026-06-05,Batter_1,4-Seam Fastball
823856,2026-06-10,Inning_3_leadoff,Changeup
823856,2026-06-10,Inning_2_leadoff,4-Seam Fastball
823856,2026-06-10,Batter_3,4-Seam Fastball
823856,2026-06-10,Batter_2,Curveball
823856,2026-06-10,Batter_1,4-Seam Fastball
823452,2026-06-15,Inning_3_leadoff,4-Seam Fastball
823452,2026-06-15,Inning_2_leadoff,4-Seam Fastball
823452,2026-06-15,Batter_3,Cutter
823452,2026-06-15,Batter_2,4-Seam Fastball
823452,2026-06-15,Batter_1,Changeup
823852,2026-06-21,Inning_3_leadoff,Curveball
823852,2026-06-21,Inning_2_leadoff,4-Seam Fastball
823852,2026-06-21,Batter_3,Sinker
823852,2026-06-21,Batter_2,Changeup
823852,2026-06-21,Batter_1,Sinker
