bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,100.0
Batter_2,4-Seam Fastball,11,73.3
Batter_2,Curveball,2,13.3
Batter_2,Sinker,2,13.3
Batter_3,4-Seam Fastball,8,53.3
Batter_3,Curveball,3,20.0
Batter_3,Cutter,3,20.0
Batter_3,Sweeper,1,6.7
Inning_2_leadoff,4-Seam Fastball,6,42.9
Inning_2_leadoff,Curveball,4,28.6
Inning_2_leadoff,Sinker,3,21.4
Inning_2_leadoff,Sweeper,1,7.1
Inning_3_leadoff,4-Seam Fastball,6,40.0
Inning_3_leadoff,Changeup,1,6.7
Inning_3_leadoff,Curveball,3,20.0
Inning_3_leadoff,Cutter,3,20.0
Inning_3_leadoff,Sweeper,2,13.3
