game_pk,game_date,bucket,pitch_name
824702,2026-03-30,Inning_3_leadoff,Cutter
824702,2026-03-30,Inning_2_leadoff,Cutter
824702,2026-03-30,Batter_3,Sweeper
824702,2026-03-30,Batter_2,Sweeper
824702,2026-03-30,Batter_1,Sinker
824989,2026-06-18,Inning_3_leadoff,Sinker
824989,2026-06-18,Inning_2_leadoff,Sinker
824989,2026-06-18,Batter_3,Sweeper
824989,2026-06-18,Batter_2,Sinker
824989,2026-06-18,Batter_1,Sinker
824017,2026-06-23,Inning_3_leadoff,Sinker
824017,2026-06-23,Inning_2_leadoff,Sinker
824017,2026-06-23,Batter_3,Cutter
824017,2026-06-23,Batter_2,Sinker
824017,2026-06-23,Batter_1,Sinker
823121,2026-06-29,Inning_3_leadoff,Sinker
823121,2026-06-29,Inning_2_leadoff,Sinker
823121,2026-06-29,Batter_3,Sinker
823121,2026-06-29,Batter_2,Cutter
823121,2026-06-29,Batter_1,Sinker
824010,2026-07-05,Inning_3_leadoff,Cutter
824010,2026-07-05,Inning_2_leadoff,Sinker
824010,2026-07-05,Batter_3,Sinker
824010,2026-07-05,Batter_2,Cutter
824010,2026-07-05,Batter_1,Sinker
823682,2026-07-11,Inning_3_leadoff,Cutter
823682,2026-07-11,Inning_2_leadoff,Split-Finger
823682,2026-07-11,Batter_3,Split-Finger
823682,2026-07-11,Batter_2,Sinker
823682,2026-07-11,Batter_1,Sinker
824007,2026-07-19,Inning_3_leadoff,Sinker
824007,2026-07-19,Inning_2_leadoff,Sinker
824007,2026-07-19,Batter_3,Sinker
824007,2026-07-19,Batter_2,Sinker
824007,2026-07-19,Batter_1,Sinker
823197,2026-07-25,Inning_3_leadoff,Cutter
823197,2026-07-25,Inning_2_leadoff,Sweeper
823197,2026-07-25,Batter_3,Cutter
823197,2026-07-25,Batter_2,Cutter
823197,2026-07-25,Batter_1,Sinker
823999,2026-07-31,Inning_3_leadoff,Sinker
823999,2026-07-31,Inning_2_leadoff,Cutter
823999,2026-07-31,Batter_3,Sweeper
823999,2026-07-31,Batter_2,Cutter
823999,2026-07-31,Batter_1,Cutter
824804,2026-08-06,Inning_3_leadoff,Cutter
824804,2026-08-06,Inning_2_leadoff,Cutter
824804,2026-08-06,Batter_3,Sinker
824804,2026-08-06,Batter_2,Sweeper
824804,2026-08-06,Batter_1,Sinker
823997,2026-08-11,Inning_3_leadoff,Cutter
823997,2026-08-11,Inning_2_leadoff,Cutter
823997,2026-08-11,Batter_3,Cutter
823997,2026-08-11,Batter_2,Cutter
823997,2026-08-11,Batter_1,Sinker
823991,2026-08-16,Inning_3_leadoff,Cutter
823991,2026-08-16,Inning_2_leadoff,Cutter
823991,2026-08-16,Batter_3,Cutter
823991,2026-08-16,Batter_2,Sweeper
823991,2026-08-16,Batter_1,Cutter
