bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,96.0
Batter_1,Sinker,1,4.0
Batter_2,4-Seam Fastball,19,76.0
Batter_2,Cutter,1,4.0
Batter_2,Sinker,1,4.0
Batter_2,Slider,4,16.0
Batter_3,4-Seam Fastball,14,56.0
Batter_3,Changeup,1,4.0
Batter_3,Curveball,2,8.0
Batter_3,Cutter,5,20.0
Batter_3,Sinker,2,8.0
Batter_3,Slider,1,4.0
Inning_2_leadoff,4-Seam Fastball,18,75.0
Inning_2_leadoff,Cutter,2,8.3
Inning_2_leadoff,Sinker,1,4.2
Inning_2_leadoff,Slider,3,12.5
Inning_3_leadoff,4-Seam Fastball,16,66.7
Inning_3_leadoff,Changeup,2,8.3
Inning_3_leadoff,Cutter,1,4.2
Inning_3_leadoff,Sinker,1,4.2
Inning_3_leadoff,Slider,4,16.7
