game_pk,game_date,bucket,pitch_name
823159,2026-03-30,Inning_3_leadoff,Sweeper
823159,2026-03-30,Inning_2_leadoff,Sweeper
823159,2026-03-30,Batter_3,4-Seam Fastball
823159,2026-03-30,Batter_2,4-Seam Fastball
823159,2026-03-30,Batter_1,Sinker
823569,2026-04-04,Inning_3_leadoff,Sweeper
823569,2026-04-04,Inning_2_leadoff,4-Seam Fastball
823569,2026-04-04,Batter_3,Sinker
823569,2026-04-04,Batter_2,Sweeper
823569,2026-04-04,Batter_1,4-Seam Fastball
823565,2026-04-09,Inning_3_leadoff,4-Seam Fastball
823565,2026-04-09,Inning_2_leadoff,Sweeper
823565,2026-04-09,Batter_3,Sweeper
823565,2026-04-09,Batter_2,Sweeper
823565,2026-04-09,Batter_1,4-Seam Fastball
823562,2026-04-14,Inning_3_leadoff,Changeup
823562,2026-04-14,Inning_2_leadoff,4-Seam Fastball
823562,2026-04-14,Batter_3,4-Seam Fastball
823562,2026-04-14,Batter_2,4-Seam Fastball
823562,2026-04-14,Batter_1,Sweeper
823556,2026-04-19,Inning_3_leadoff,Sinker
823556,2026-04-19,Inning_2_leadoff,Sweeper
823556,2026-04-19,Batter_3,Slider
823556,2026-04-19,Batter_2,Sweeper
823556,2026-04-19,Batter_1,Sinker
824203,2026-04-25,Inning_3_leadoff,4-Seam Fastball
824203,2026-04-25,Inning_2_leadoff,4-Seam Fastball
824203,2026-04-25,Batter_3,Sweeper
824203,2026-04-25,Batter_2,Sweeper
824203,2026-04-25,Batter_1,Sinker
823554,2026-05-02,Inning_3_leadoff,4-Seam Fastball
823554,2026-05-02,Inning_2_leadoff,Sinker
823554,2026-05-02,Batter_3,4-Seam Fastball
823554,2026-05-02,Batter_2,Sinker
823554,2026-05-02,Batter_1,Sinker
824844,2026-05-11,Inning_3_leadoff,Sweeper
824844,2026-05-11,Inning_2_leadoff,Sweeper
824844,2026-05-11,Batter_3,Sweeper
824844,2026-05-11,Batter_2,Sinker
824844,2026-05-11,Batter_1,Sinker
823549,2026-05-18,Inning_3_leadoff,4-Seam Fastball
823549,2026-05-18,Inning_2_leadoff,Sinker
823549,2026-05-18,Batter_3,Sweeper
823549,2026-05-18,Batter_2,Changeup
823549,2026-05-18,Batter_1,Sinker
823544,2026-05-24,Inning_3_leadoff,4-Seam Fastball
823544,2026-05-24,Inning_2_leadoff,Sinker
823544,2026-05-24,Batter_3,Sweeper
823544,2026-05-24,Batter_2,4-Seam Fastball
823544,2026-05-24,Batter_1,4-Seam Fastball
825000,2026-05-30,Inning_3_leadoff,Sweeper
825000,2026-05-30,Inning_2_leadoff,4-Seam Fastball
825000,2026-05-30,Batter_3,4-Seam Fastball
825000,2026-05-30,Batter_2,4-Seam Fastball
825000,2026-05-30,Batter_1,4-Seam Fastball
823538,2026-06-05,Inning_3_leadoff,Sweeper
823538,2026-06-05,Inning_2_leadoff,4-Seam Fastball
823538,2026-06-05,Batter_3,Sweeper
823538,2026-06-05,Batter_2,4-Seam Fastball
823538,2026-06-05,Batter_1,4-Seam Fastball
822803,2026-06-12,Inning_3_leadoff,4-Seam Fastball
822803,2026-06-12,Inning_2_leadoff,Sweeper
822803,2026-06-12,Batter_3,Sinker
822803,2026-06-12,Batter_2,4-Seam Fastball
822803,2026-06-12,Batter_1,Sinker
823533,2026-06-18,Inning_3_leadoff,Sweeper
823533,2026-06-18,Inning_2_leadoff,Sinker
823533,2026-06-18,Batter_3,Sweeper
823533,2026-06-18,Batter_2,Sweeper
823533,2026-06-18,Batter_1,4-Seam Fastball
824259,2026-06-24,Inning_3_leadoff,Sweeper
824259,2026-06-24,Inning_2_leadoff,4-Seam Fastball
824259,2026-06-24,Batter_3,4-Seam Fastball
824259,2026-06-24,Batter_2,4-Seam Fastball
824259,2026-06-24,Batter_1,Sinker
823529,2026-06-29,Inning_2_leadoff,4-Seam Fastball
823529,2026-06-29,Batter_3,Slider
823529,2026-06-29,Batter_2,4-Seam Fastball
823529,2026-06-29,Batter_1,4-Seam Fastball
823525,2026-07-05,Inning_3_leadoff,4-Seam Fastball
823525,2026-07-05,Inning_2_leadoff,Sweeper
823525,2026-07-05,Batter_3,4-Seam Fastball
823525,2026-07-05,Batter_2,Sweeper
823525,2026-07-05,Batter_1,4-Seam Fastball
822709,2026-07-10,Inning_3_leadoff,4-Seam Fastball
822709,2026-07-10,Inning_2_leadoff,Sweeper
822709,2026-07-10,Batter_3,Slider
822709,2026-07-10,Batter_2,Sweeper
822709,2026-07-10,Batter_1,4-Seam Fastball
