game_pk,game_date,bucket,pitch_name
824040,2026-05-05,Inning_3_leadoff,4-Seam Fastball
824040,2026-05-05,Inning_2_leadoff,4-Seam Fastball
824040,2026-05-05,Batter_3,4-Seam Fastball
824040,2026-05-05,Batter_2,4-Seam Fastball
824040,2026-05-05,Batter_1,4-Seam Fastball
824020,2026-06-12,Inning_3_leadoff,Curveball
824020,2026-06-12,Inning_2_leadoff,Cutter
824020,2026-06-12,Batter_3,4-Seam Fastball
824020,2026-06-12,Batter_2,4-Seam Fastball
824020,2026-06-12,Batter_1,Changeup
825072,2026-06-17,Inning_3_leadoff,4-Seam Fastball
825072,2026-06-17,Inning_2_leadoff,Curveball
825072,2026-06-17,Batter_3,4-Seam Fastball
825072,2026-06-17,Batter_2,4-Seam Fastball
825072,2026-06-17,Batter_1,4-Seam Fastball
824016,2026-06-22,Inning_3_leadoff,Curveball
824016,2026-06-22,Inning_2_leadoff,Curveball
824016,2026-06-22,Batter_3,Curveball
824016,2026-06-22,Batter_2,Slider
824016,2026-06-22,Batter_1,4-Seam Fastball
824011,2026-06-28,Inning_3_leadoff,4-Seam Fastball
824011,2026-06-28,Inning_2_leadoff,4-Seam Fastball
824011,2026-06-28,Batter_3,4-Seam Fastball
824011,2026-06-28,Batter_2,4-Seam Fastball
824011,2026-06-28,Batter_1,4-Seam Fastball
824012,2026-07-04,Inning_3_leadoff,Curveball
824012,2026-07-04,Inning_2_leadoff,4-Seam Fastball
824012,2026-07-04,Batter_3,4-Seam Fastball
824012,2026-07-04,Batter_2,4-Seam Fastball
824012,2026-07-04,Batter_1,4-Seam Fastball
