game_pk,game_date,bucket,pitch_name
778562,2025-03-27,Inning_3_leadoff,CH
778562,2025-03-27,Inning_2_leadoff,SI
778562,2025-03-27,Batter_3,CH
778562,2025-03-27,Batter_2,SL
778497,2025-04-01,Inning_3_leadoff,SI
778497,2025-04-01,Inning_2_leadoff,SI
778497,2025-04-01,Batter_3,FF
778497,2025-04-01,Batter_2,CU
778354,2025-04-12,Inning_3_leadoff,FF
778354,2025-04-12,Inning_2_leadoff,CH
778354,2025-04-12,Batter_3,CH
778354,2025-04-12,Batter_2,SI
778274,2025-04-18,Inning_2_leadoff,SI
778274,2025-04-18,Batter_3,CH
778274,2025-04-18,Batter_2,SL
778208,2025-04-23,Inning_3_leadoff,SI
778208,2025-04-23,Inning_2_leadoff,FF
778208,2025-04-23,Batter_3,FF
778208,2025-04-23,Batter_2,SI
778123,2025-04-29,Inning_3_leadoff,CH
778123,2025-04-29,Inning_2_leadoff,CH
778123,2025-04-29,Batter_3,FF
778123,2025-04-29,Batter_2,SI
778047,2025-05-05,Inning_3_leadoff,CU
778047,2025-05-05,Inning_2_leadoff,FF
778047,2025-05-05,Batter_3,SL
778047,2025-05-05,Batter_2,SI
777966,2025-05-11,Inning_3_leadoff,FF
777966,2025-05-11,Inning_2_leadoff,FF
777966,2025-05-11,Batter_3,CU
777966,2025-05-11,Batter_2,FF
777889,2025-05-17,Inning_3_leadoff,SI
777889,2025-05-17,Inning_2_leadoff,CU
777889,2025-05-17,Batter_3,SI
777889,2025-05-17,Batter_2,FF
777798,2025-05-23,Inning_3_leadoff,FF
777798,2025-05-23,Inning_2_leadoff,FF
777798,2025-05-23,Batter_3,CU
777798,2025-05-23,Batter_2,SL
777726,2025-05-28,Inning_3_leadoff,FF
777726,2025-05-28,Inning_2_leadoff,SL
777726,2025-05-28,Batter_3,FF
777726,2025-05-28,Batter_2,SL
777666,2025-06-03,Inning_3_leadoff,SI
777666,2025-06-03,Inning_2_leadoff,FF
777666,2025-06-03,Batter_3,SL
777666,2025-06-03,Batter_2,SI
777566,2025-06-10,Inning_3_leadoff,FF
777566,2025-06-10,Inning_2_leadoff,SI
777566,2025-06-10,Batter_3,CU
777566,2025-06-10,Batter_2,FF
777483,2025-06-16,Inning_3_leadoff,SL
777483,2025-06-16,Inning_2_leadoff,CU
777483,2025-06-16,Batter_3,SL
777483,2025-06-16,Batter_2,SI
777402,2025-06-22,Inning_3_leadoff,CH
777402,2025-06-22,Inning_2_leadoff,SL
777402,2025-06-22,Batter_3,SI
777402,2025-06-22,Batter_2,FF
777318,2025-06-28,Inning_3_leadoff,CU
777318,2025-06-28,Inning_2_leadoff,FF
777318,2025-06-28,Batter_3,SL
777318,2025-06-28,Batter_2,SL
