bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,44.0
Batter_1,Changeup,1,4.0
Batter_1,Cutter,2,8.0
Batter_1,Sinker,11,44.0
Batter_2,4-Seam Fastball,8,32.0
Batter_2,Changeup,3,12.0
Batter_2,Cutter,3,12.0
Batter_2,Sinker,8,32.0
Batter_2,Slider,3,12.0
Batter_3,4-Seam Fastball,9,36.0
Batter_3,Changeup,5,20.0
Batter_3,Cutter,6,24.0
Batter_3,Sinker,5,20.0
Inning_2_leadoff,4-Seam Fastball,4,16.0
Inning_2_leadoff,Curveball,1,4.0
Inning_2_leadoff,Cutter,7,28.0
Inning_2_leadoff,Sinker,12,48.0
Inning_2_leadoff,Slider,1,4.0
Inning_3_leadoff,4-Seam Fastball,6,24.0
Inning_3_leadoff,Changeup,4,16.0
Inning_3_leadoff,Curveball,2,8.0
Inning_3_leadoff,Cutter,7,28.0
Inning_3_leadoff,Sinker,5,20.0
Inning_3_leadoff,Slider,1,4.0
