game_pk,game_date,bucket,pitch_name
778529,2025-03-29,Inning_3_leadoff,CU
778529,2025-03-29,Inning_2_leadoff,FF
778529,2025-03-29,Batter_3,CU
778529,2025-03-29,Batter_2,FF
778455,2025-04-04,Inning_3_leadoff,FF
778455,2025-04-04,Inning_2_leadoff,FF
778455,2025-04-04,Batter_3,FF
778455,2025-04-04,Batter_2,FF
778388,2025-04-09,Inning_3_leadoff,CU
778388,2025-04-09,Inning_2_leadoff,FF
778388,2025-04-09,Batter_3,FC
778388,2025-04-09,Batter_2,FF
778327,2025-04-14,Inning_3_leadoff,SI
778327,2025-04-14,Inning_2_leadoff,SL
778327,2025-04-14,Batter_3,FF
778327,2025-04-14,Batter_2,FC
778265,2025-04-19,Inning_3_leadoff,CH
778265,2025-04-19,Inning_2_leadoff,CU
778265,2025-04-19,Batter_3,FF
778265,2025-04-19,Batter_2,FF
778187,2025-04-25,Inning_3_leadoff,FF
778187,2025-04-25,Inning_2_leadoff,SI
778187,2025-04-25,Batter_3,FF
778187,2025-04-25,Batter_2,FF
778097,2025-05-01,Inning_3_leadoff,CH
778097,2025-05-01,Inning_2_leadoff,SL
778097,2025-05-01,Batter_3,FF
778097,2025-05-01,Batter_2,FF
778033,2025-05-06,Inning_3_leadoff,FF
778033,2025-05-06,Inning_2_leadoff,FF
778033,2025-05-06,Batter_3,SI
778033,2025-05-06,Batter_2,FF
777965,2025-05-11,Inning_3_leadoff,FF
777965,2025-05-11,Inning_2_leadoff,CU
777965,2025-05-11,Batter_3,FF
777965,2025-05-11,Batter_2,CU
777711,2025-05-30,Inning_3_leadoff,SL
777711,2025-05-30,Inning_2_leadoff,FF
777711,2025-05-30,Batter_3,FF
777711,2025-05-30,Batter_2,FF
777618,2025-06-06,Inning_3_leadoff,SI
777618,2025-06-06,Inning_2_leadoff,FF
777618,2025-06-06,Batter_3,SI
777618,2025-06-06,Batter_2,FF
777536,2025-06-12,Inning_3_leadoff,FF
777536,2025-06-12,Inning_2_leadoff,SV
777536,2025-06-12,Batter_3,SL
777536,2025-06-12,Batter_2,CU
777468,2025-06-17,Inning_3_leadoff,SV
777468,2025-06-17,Inning_2_leadoff,FC
777468,2025-06-17,Batter_3,SV
777468,2025-06-17,Batter_2,SI
777396,2025-06-22,Inning_3_leadoff,FF
777396,2025-06-22,Inning_2_leadoff,FC
777396,2025-06-22,Batter_3,FF
777396,2025-06-22,Batter_2,SI
777319,2025-06-28,Inning_3_leadoff,SV
777319,2025-06-28,Inning_2_leadoff,CU
777319,2025-06-28,Batter_3,SI
777319,2025-06-28,Batter_2,FF
