bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,57.1
Batter_1,Cutter,2,9.5
Batter_1,Sinker,6,28.6
Batter_1,Slider,1,4.8
Batter_2,4-Seam Fastball,14,66.7
Batter_2,Curveball,2,9.5
Batter_2,Cutter,1,4.8
Batter_2,Sinker,4,19.0
Batter_3,4-Seam Fastball,11,52.4
Batter_3,Curveball,1,4.8
Batter_3,Cutter,1,4.8
Batter_3,Sinker,4,19.0
Batter_3,Slider,2,9.5
Batter_3,Slurve,2,9.5
Inning_2_leadoff,4-Seam Fastball,10,47.6
Inning_2_leadoff,Curveball,5,23.8
Inning_2_leadoff,Cutter,2,9.5
Inning_2_leadoff,Sinker,1,4.8
Inning_2_leadoff,Slider,2,9.5
Inning_2_leadoff,Slurve,1,4.8
Inning_3_leadoff,4-Seam Fastball,7,33.3
Inning_3_leadoff,Changeup,2,9.5
Inning_3_leadoff,Curveball,5,23.8
Inning_3_leadoff,Sinker,2,9.5
Inning_3_leadoff,Slider,2,9.5
Inning_3_leadoff,Slurve,3,14.3
