bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,100.0
Batter_2,4-Seam Fastball,5,45.5
Batter_2,Cutter,4,36.4
Batter_2,Knuckle Curve,1,9.1
Batter_2,Sinker,1,9.1
Batter_3,4-Seam Fastball,6,54.5
Batter_3,Cutter,3,27.3
Batter_3,Knuckle Curve,2,18.2
Inning_2_leadoff,4-Seam Fastball,6,54.5
Inning_2_leadoff,Changeup,1,9.1
Inning_2_leadoff,Cutter,2,18.2
Inning_2_leadoff,Knuckle Curve,1,9.1
Inning_2_leadoff,Sinker,1,9.1
Inning_3_leadoff,4-Seam Fastball,5,45.5
Inning_3_leadoff,Cutter,4,36.4
Inning_3_leadoff,Knuckle Curve,1,9.1
Inning_3_leadoff,Sinker,1,9.1
