bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,8,80.0
Batter_1,Sinker,2,20.0
Batter_2,4-Seam Fastball,6,60.0
Batter_2,Curveball,1,10.0
Batter_2,Sinker,2,20.0
Batter_2,Slider,1,10.0
Batter_3,4-Seam Fastball,2,20.0
Batter_3,Curveball,2,20.0
Batter_3,Cutter,2,20.0
Batter_3,Sinker,3,30.0
Batter_3,Slider,1,10.0
Inning_2_leadoff,4-Seam Fastball,4,40.0
Inning_2_leadoff,Curveball,2,20.0
Inning_2_leadoff,Cutter,1,10.0
Inning_2_leadoff,Sinker,3,30.0
Inning_3_leadoff,4-Seam Fastball,3,30.0
Inning_3_leadoff,Cutter,2,20.0
Inning_3_leadoff,Sinker,4,40.0
Inning_3_leadoff,Slider,1,10.0
