game_pk,game_date,bucket,pitch_name
778490,2025-04-01,Inning_3_leadoff,SL
778490,2025-04-01,Inning_2_leadoff,FF
778490,2025-04-01,Batter_3,SL
778490,2025-04-01,Batter_2,FF
778402,2025-04-08,Inning_3_leadoff,SL
778402,2025-04-08,Inning_2_leadoff,SL
778402,2025-04-08,Batter_3,CU
778402,2025-04-08,Batter_2,SL
778338,2025-04-13,Inning_3_leadoff,SL
778338,2025-04-13,Inning_2_leadoff,SL
778338,2025-04-13,Batter_3,FF
778338,2025-04-13,Batter_2,CU
778264,2025-04-19,Inning_3_leadoff,FF
778264,2025-04-19,Inning_2_leadoff,SL
778264,2025-04-19,Batter_3,SL
778264,2025-04-19,Batter_2,FF
778189,2025-04-24,Inning_3_leadoff,SI
778189,2025-04-24,Inning_2_leadoff,FF
778189,2025-04-24,Batter_3,CH
778189,2025-04-24,Batter_2,SL
778111,2025-04-30,Inning_3_leadoff,FF
778111,2025-04-30,Inning_2_leadoff,SL
778111,2025-04-30,Batter_3,SL
778111,2025-04-30,Batter_2,SL
778043,2025-05-05,Inning_3_leadoff,SL
778043,2025-05-05,Inning_2_leadoff,SL
778043,2025-05-05,Batter_3,FF
778043,2025-05-05,Batter_2,CU
777978,2025-05-10,Inning_3_leadoff,FF
777978,2025-05-10,Inning_2_leadoff,CU
777978,2025-05-10,Batter_3,SI
777978,2025-05-10,Batter_2,FF
777900,2025-05-16,Inning_3_leadoff,SI
777900,2025-05-16,Inning_2_leadoff,FF
777900,2025-05-16,Batter_3,SL
777900,2025-05-16,Batter_2,FF
777830,2025-05-21,Inning_3_leadoff,CU
777830,2025-05-21,Inning_2_leadoff,CU
777830,2025-05-21,Batter_3,SL
777830,2025-05-21,Batter_2,FF
777737,2025-05-28,Inning_3_leadoff,FF
777737,2025-05-28,Inning_2_leadoff,SI
777737,2025-05-28,Batter_3,CH
777737,2025-05-28,Batter_2,FF
777661,2025-06-03,Inning_3_leadoff,FF
777661,2025-06-03,Inning_2_leadoff,CU
777661,2025-06-03,Batter_3,CU
777661,2025-06-03,Batter_2,FF
777567,2025-06-10,Inning_3_leadoff,CU
777567,2025-06-10,Inning_2_leadoff,FF
777567,2025-06-10,Batter_3,CU
777567,2025-06-10,Batter_2,FF
777467,2025-06-17,Inning_3_leadoff,FF
777467,2025-06-17,Inning_2_leadoff,FF
777467,2025-06-17,Batter_3,FF
777467,2025-06-17,Batter_2,FF
777393,2025-06-23,Inning_2_leadoff,FF
777393,2025-06-23,Batter_3,CU
777393,2025-06-23,Batter_2,SI
