game_pk,game_date,bucket,pitch_name
823969,2026-03-31,Inning_3_leadoff,Curveball
823969,2026-03-31,Inning_2_leadoff,4-Seam Fastball
823969,2026-03-31,Batter_3,4-Seam Fastball
823969,2026-03-31,Batter_2,4-Seam Fastball
823969,2026-03-31,Batter_1,4-Seam Fastball
822833,2026-04-08,Inning_3_leadoff,Split-Finger
822833,2026-04-08,Inning_2_leadoff,4-Seam Fastball
822833,2026-04-08,Batter_3,Sweeper
822833,2026-04-08,Batter_2,4-Seam Fastball
822833,2026-04-08,Batter_1,Sinker
823963,2026-04-15,Inning_3_leadoff,4-Seam Fastball
823963,2026-04-15,Inning_2_leadoff,4-Seam Fastball
823963,2026-04-15,Batter_3,Curveball
823963,2026-04-15,Batter_2,4-Seam Fastball
823963,2026-04-15,Batter_1,4-Seam Fastball
823231,2026-04-22,Inning_3_leadoff,4-Seam Fastball
823231,2026-04-22,Inning_2_leadoff,4-Seam Fastball
823231,2026-04-22,Batter_3,Sweeper
823231,2026-04-22,Batter_2,4-Seam Fastball
823231,2026-04-22,Batter_1,4-Seam Fastball
823956,2026-04-28,Inning_3_leadoff,Sweeper
823956,2026-04-28,Inning_2_leadoff,4-Seam Fastball
823956,2026-04-28,Batter_3,4-Seam Fastball
823956,2026-04-28,Batter_2,4-Seam Fastball
823956,2026-04-28,Batter_1,4-Seam Fastball
824200,2026-05-05,Inning_3_leadoff,4-Seam Fastball
824200,2026-05-05,Inning_2_leadoff,4-Seam Fastball
824200,2026-05-05,Batter_3,4-Seam Fastball
824200,2026-05-05,Batter_2,4-Seam Fastball
824200,2026-05-05,Batter_1,4-Seam Fastball
823952,2026-05-13,Inning_3_leadoff,Sweeper
823952,2026-05-13,Inning_2_leadoff,Sweeper
823952,2026-05-13,Batter_3,Sweeper
823952,2026-05-13,Batter_2,4-Seam Fastball
823952,2026-05-13,Batter_1,Sweeper
823299,2026-05-20,Inning_3_leadoff,Sweeper
823299,2026-05-20,Inning_2_leadoff,4-Seam Fastball
823299,2026-05-20,Batter_3,Curveball
823299,2026-05-20,Batter_2,Sweeper
823299,2026-05-20,Batter_1,Sweeper
823947,2026-05-27,Inning_3_leadoff,4-Seam Fastball
823947,2026-05-27,Inning_2_leadoff,Curveball
823947,2026-05-27,Batter_3,Curveball
823947,2026-05-27,Batter_2,Sinker
823947,2026-05-27,Batter_1,4-Seam Fastball
825077,2026-06-03,Inning_3_leadoff,4-Seam Fastball
825077,2026-06-03,Inning_2_leadoff,Curveball
825077,2026-06-03,Batter_3,4-Seam Fastball
825077,2026-06-03,Batter_2,4-Seam Fastball
825077,2026-06-03,Batter_1,4-Seam Fastball
823372,2026-06-10,Inning_3_leadoff,4-Seam Fastball
823372,2026-06-10,Inning_2_leadoff,4-Seam Fastball
823372,2026-06-10,Batter_3,Sweeper
823372,2026-06-10,Batter_2,Curveball
823372,2026-06-10,Batter_1,4-Seam Fastball
823940,2026-06-17,Inning_3_leadoff,4-Seam Fastball
823940,2026-06-17,Inning_2_leadoff,Curveball
823940,2026-06-17,Batter_3,Curveball
823940,2026-06-17,Batter_2,4-Seam Fastball
823940,2026-06-17,Batter_1,Sweeper
823691,2026-06-24,Inning_3_leadoff,4-Seam Fastball
823691,2026-06-24,Inning_2_leadoff,Curveball
823691,2026-06-24,Batter_3,Sinker
823691,2026-06-24,Batter_2,4-Seam Fastball
823691,2026-06-24,Batter_1,4-Seam Fastball
