bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,69.2
Batter_1,Sinker,1,7.7
Batter_1,Sweeper,3,23.1
Batter_2,4-Seam Fastball,10,76.9
Batter_2,Curveball,1,7.7
Batter_2,Sinker,1,7.7
Batter_2,Sweeper,1,7.7
Batter_3,4-Seam Fastball,4,30.8
Batter_3,Curveball,4,30.8
Batter_3,Sinker,1,7.7
Batter_3,Sweeper,4,30.8
Inning_2_leadoff,4-Seam Fastball,8,61.5
Inning_2_leadoff,Curveball,4,30.8
Inning_2_leadoff,Sweeper,1,7.7
Inning_3_leadoff,4-Seam Fastball,8,61.5
Inning_3_leadoff,Curveball,1,7.7
Inning_3_leadoff,Split-Finger,1,7.7
Inning_3_leadoff,Sweeper,3,23.1
