bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,27,93.1
Batter_1,Split-Finger,1,3.4
Batter_1,Sweeper,1,3.4
Batter_2,4-Seam Fastball,19,65.5
Batter_2,Curveball,4,13.8
Batter_2,Sinker,1,3.4
Batter_2,Split-Finger,1,3.4
Batter_2,Sweeper,4,13.8
Batter_3,4-Seam Fastball,18,62.1
Batter_3,Split-Finger,6,20.7
Batter_3,Sweeper,5,17.2
Inning_2_leadoff,4-Seam Fastball,16,55.2
Inning_2_leadoff,Curveball,2,6.9
Inning_2_leadoff,Sinker,1,3.4
Inning_2_leadoff,Split-Finger,7,24.1
Inning_2_leadoff,Sweeper,3,10.3
Inning_3_leadoff,4-Seam Fastball,16,55.2
Inning_3_leadoff,Curveball,3,10.3
Inning_3_leadoff,Slider,1,3.4
Inning_3_leadoff,Split-Finger,1,3.4
Inning_3_leadoff,Sweeper,8,27.6
