bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,4,40.0
Batter_2,Changeup,1,10.0
Batter_2,Curveball,2,20.0
Batter_2,Cutter,1,10.0
Batter_2,Sinker,2,20.0
Batter_3,4-Seam Fastball,4,40.0
Batter_3,Curveball,2,20.0
Batter_3,Cutter,1,10.0
Batter_3,Sinker,3,30.0
Inning_2_leadoff,4-Seam Fastball,6,60.0
Inning_2_leadoff,Changeup,1,10.0
Inning_2_leadoff,Curveball,3,30.0
Inning_3_leadoff,4-Seam Fastball,4,40.0
Inning_3_leadoff,Curveball,1,10.0
Inning_3_leadoff,Cutter,3,30.0
Inning_3_leadoff,Sinker,2,20.0
