bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,92.9
Batter_1,Curveball,1,7.1
Batter_2,4-Seam Fastball,3,21.4
Batter_2,Changeup,1,7.1
Batter_2,Curveball,4,28.6
Batter_2,Sinker,2,14.3
Batter_2,Sweeper,4,28.6
Batter_3,4-Seam Fastball,5,35.7
Batter_3,Changeup,1,7.1
Batter_3,Curveball,3,21.4
Batter_3,Sinker,4,28.6
Batter_3,Sweeper,1,7.1
Inning_2_leadoff,4-Seam Fastball,8,57.1
Inning_2_leadoff,Curveball,2,14.3
Inning_2_leadoff,Sinker,1,7.1
Inning_2_leadoff,Sweeper,3,21.4
Inning_3_leadoff,4-Seam Fastball,7,50.0
Inning_3_leadoff,Changeup,1,7.1
Inning_3_leadoff,Curveball,1,7.1
Inning_3_leadoff,Cutter,1,7.1
Inning_3_leadoff,Sinker,3,21.4
Inning_3_leadoff,Sweeper,1,7.1
