bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,9,52.9
Batter_2,Curveball,4,23.5
Batter_2,Cutter,2,11.8
Batter_2,Sinker,2,11.8
Batter_3,4-Seam Fastball,8,47.1
Batter_3,Curveball,3,17.6
Batter_3,Cutter,3,17.6
Batter_3,Sinker,1,5.9
Batter_3,Slider,2,11.8
Inning_2_leadoff,4-Seam Fastball,12,70.6
Inning_2_leadoff,Curveball,1,5.9
Inning_2_leadoff,Cutter,1,5.9
Inning_2_leadoff,Sinker,2,11.8
Inning_2_leadoff,Slider,1,5.9
Inning_3_leadoff,4-Seam Fastball,9,52.9
Inning_3_leadoff,Curveball,3,17.6
Inning_3_leadoff,Cutter,1,5.9
Inning_3_leadoff,Sinker,3,17.6
Inning_3_leadoff,Slider,1,5.9
Leadoff_2nd_PA,4-Seam Fastball,2,33.3
Leadoff_2nd_PA,Cutter,2,33.3
Leadoff_2nd_PA,Slider,1,16.7
Leadoff_2nd_PA,Split-Finger,1,16.7
