game_pk,game_date,bucket,pitch_name
778297,2025-04-16,Inning_3_leadoff,4-Seam Fastball
778297,2025-04-16,Inning_2_leadoff,Slider
778297,2025-04-16,Batter_3,4-Seam Fastball
778297,2025-04-16,Batter_2,Slider
778297,2025-04-16,Batter_1,4-Seam Fastball
777841,2025-05-20,Inning_3_leadoff,4-Seam Fastball
777841,2025-05-20,Inning_2_leadoff,4-Seam Fastball
777841,2025-05-20,Batter_3,4-Seam Fastball
777841,2025-05-20,Batter_2,4-Seam Fastball
777841,2025-05-20,Batter_1,4-Seam Fastball
777748,2025-05-27,Inning_3_leadoff,Slider
777748,2025-05-27,Inning_2_leadoff,Slider
777748,2025-05-27,Batter_3,4-Seam Fastball
777748,2025-05-27,Batter_2,4-Seam Fastball
777748,2025-05-27,Batter_1,4-Seam Fastball
777672,2025-06-03,Inning_3_leadoff,4-Seam Fastball
777672,2025-06-03,Inning_2_leadoff,4-Seam Fastball
777672,2025-06-03,Batter_3,4-Seam Fastball
777672,2025-06-03,Batter_2,4-Seam Fastball
777672,2025-06-03,Batter_1,4-Seam Fastball
777587,2025-06-08,Inning_3_leadoff,4-Seam Fastball
777587,2025-06-08,Inning_2_leadoff,4-Seam Fastball
777587,2025-06-08,Batter_3,Slider
777587,2025-06-08,Batter_2,4-Seam Fastball
777587,2025-06-08,Batter_1,4-Seam Fastball
777523,2025-06-14,Inning_3_leadoff,4-Seam Fastball
777523,2025-06-14,Inning_2_leadoff,4-Seam Fastball
777523,2025-06-14,Batter_3,4-Seam Fastball
777523,2025-06-14,Batter_2,4-Seam Fastball
777523,2025-06-14,Batter_1,4-Seam Fastball
777455,2025-06-19,Inning_3_leadoff,4-Seam Fastball
777455,2025-06-19,Inning_2_leadoff,4-Seam Fastball
777455,2025-06-19,Batter_3,Slider
777455,2025-06-19,Batter_2,4-Seam Fastball
777455,2025-06-19,Batter_1,4-Seam Fastball
777387,2025-06-24,Inning_3_leadoff,4-Seam Fastball
777387,2025-06-24,Inning_2_leadoff,4-Seam Fastball
777387,2025-06-24,Batter_3,4-Seam Fastball
777387,2025-06-24,Batter_2,4-Seam Fastball
777387,2025-06-24,Batter_1,4-Seam Fastball
777316,2025-06-29,Inning_3_leadoff,Curveball
777316,2025-06-29,Inning_2_leadoff,Curveball
777316,2025-06-29,Batter_3,4-Seam Fastball
777316,2025-06-29,Batter_2,4-Seam Fastball
777316,2025-06-29,Batter_1,4-Seam Fastball
777252,2025-07-04,Inning_3_leadoff,4-Seam Fastball
777252,2025-07-04,Inning_2_leadoff,4-Seam Fastball
777252,2025-07-04,Batter_3,4-Seam Fastball
777252,2025-07-04,Batter_2,4-Seam Fastball
777252,2025-07-04,Batter_1,4-Seam Fastball
777156,2025-07-10,Inning_3_leadoff,4-Seam Fastball
777156,2025-07-10,Inning_2_leadoff,4-Seam Fastball
777156,2025-07-10,Batter_3,Slider
777156,2025-07-10,Batter_2,4-Seam Fastball
777156,2025-07-10,Batter_1,4-Seam Fastball
777114,2025-07-18,Inning_3_leadoff,4-Seam Fastball
777114,2025-07-18,Inning_2_leadoff,4-Seam Fastball
777114,2025-07-18,Batter_3,4-Seam Fastball
777114,2025-07-18,Batter_2,4-Seam Fastball
777114,2025-07-18,Batter_1,4-Seam Fastball
777041,2025-07-23,Inning_3_leadoff,4-Seam Fastball
777041,2025-07-23,Inning_2_leadoff,4-Seam Fastball
777041,2025-07-23,Batter_3,Slider
777041,2025-07-23,Batter_2,4-Seam Fastball
777041,2025-07-23,Batter_1,4-Seam Fastball
776971,2025-07-28,Inning_3_leadoff,4-Seam Fastball
776971,2025-07-28,Inning_2_leadoff,Slider
776971,2025-07-28,Batter_3,Slider
776971,2025-07-28,Batter_2,4-Seam Fastball
776971,2025-07-28,Batter_1,4-Seam Fastball
776853,2025-08-06,Inning_3_leadoff,4-Seam Fastball
776853,2025-08-06,Inning_2_leadoff,Curveball
776853,2025-08-06,Batter_3,4-Seam Fastball
776853,2025-08-06,Batter_2,Slider
776853,2025-08-06,Batter_1,4-Seam Fastball
776772,2025-08-12,Inning_3_leadoff,4-Seam Fastball
776772,2025-08-12,Inning_2_leadoff,4-Seam Fastball
776772,2025-08-12,Batter_3,4-Seam Fastball
776772,2025-08-12,Batter_2,4-Seam Fastball
776772,2025-08-12,Batter_1,4-Seam Fastball
776696,2025-08-18,Inning_3_leadoff,4-Seam Fastball
776696,2025-08-18,Inning_2_leadoff,4-Seam Fastball
776696,2025-08-18,Batter_3,Slider
776696,2025-08-18,Batter_2,Slider
776696,2025-08-18,Batter_1,4-Seam Fastball
776600,2025-08-25,Inning_3_leadoff,4-Seam Fastball
776600,2025-08-25,Inning_2_leadoff,4-Seam Fastball
776600,2025-08-25,Batter_3,Slider
776600,2025-08-25,Batter_2,Slider
776600,2025-08-25,Batter_1,4-Seam Fastball
776506,2025-09-01,Inning_3_leadoff,4-Seam Fastball
776506,2025-09-01,Inning_2_leadoff,4-Seam Fastball
776506,2025-09-01,Batter_3,4-Seam Fastball
776506,2025-09-01,Batter_2,Slider
776506,2025-09-01,Batter_1,4-Seam Fastball
776402,2025-09-09,Inning_3_leadoff,4-Seam Fastball
776402,2025-09-09,Inning_2_leadoff,4-Seam Fastball
776402,2025-09-09,Batter_3,Slider
776402,2025-09-09,Batter_2,4-Seam Fastball
776402,2025-09-09,Batter_1,Changeup
776315,2025-09-15,Inning_3_leadoff,4-Seam Fastball
776315,2025-09-15,Inning_2_leadoff,4-Seam Fastball
776315,2025-09-15,Batter_3,Slider
776315,2025-09-15,Batter_2,4-Seam Fastball
776315,2025-09-15,Batter_1,4-Seam Fastball
