game_pk,game_date,bucket,pitch_name
778051,2025-05-04,Leadoff_2nd_PA,Changeup
778051,2025-05-04,Inning_3_leadoff,4-Seam Fastball
778051,2025-05-04,Inning_2_leadoff,Sinker
778051,2025-05-04,Batter_3,4-Seam Fastball
778051,2025-05-04,Batter_2,Sinker
777976,2025-05-10,Leadoff_2nd_PA,Sinker
777976,2025-05-10,Inning_3_leadoff,4-Seam Fastball
777976,2025-05-10,Inning_2_leadoff,4-Seam Fastball
777976,2025-05-10,Batter_3,4-Seam Fastball
777976,2025-05-10,Batter_2,4-Seam Fastball
777896,2025-05-16,Leadoff_2nd_PA,4-Seam Fastball
777896,2025-05-16,Inning_3_leadoff,Sinker
777896,2025-05-16,Inning_2_leadoff,Sweeper
777896,2025-05-16,Batter_3,Slider
777896,2025-05-16,Batter_2,Sinker
777816,2025-05-22,Leadoff_2nd_PA,Cutter
777816,2025-05-22,Inning_3_leadoff,Sinker
777816,2025-05-22,Inning_2_leadoff,4-Seam Fastball
777816,2025-05-22,Batter_3,Sweeper
777816,2025-05-22,Batter_2,Sinker
777742,2025-05-27,Inning_3_leadoff,Slider
777742,2025-05-27,Inning_2_leadoff,Slider
777742,2025-05-27,Leadoff_2nd_PA,Slider
777742,2025-05-27,Batter_3,Slider
777742,2025-05-27,Batter_2,Sinker
777676,2025-06-02,Inning_3_leadoff,Cutter
777676,2025-06-02,Leadoff_2nd_PA,Slider
777676,2025-06-02,Inning_2_leadoff,4-Seam Fastball
777676,2025-06-02,Batter_3,Slider
777676,2025-06-02,Batter_2,4-Seam Fastball
777597,2025-06-07,Leadoff_2nd_PA,Cutter
777597,2025-06-07,Inning_3_leadoff,Sinker
777597,2025-06-07,Inning_2_leadoff,Cutter
777597,2025-06-07,Batter_3,4-Seam Fastball
777597,2025-06-07,Batter_2,Sinker
777521,2025-06-13,Leadoff_2nd_PA,4-Seam Fastball
777521,2025-06-13,Inning_3_leadoff,Sinker
777521,2025-06-13,Inning_2_leadoff,Cutter
777521,2025-06-13,Batter_3,4-Seam Fastball
777521,2025-06-13,Batter_2,4-Seam Fastball
777457,2025-06-18,Leadoff_2nd_PA,Sweeper
777457,2025-06-18,Inning_3_leadoff,4-Seam Fastball
777457,2025-06-18,Inning_2_leadoff,Sinker
777457,2025-06-18,Batter_3,Cutter
777457,2025-06-18,Batter_2,Slider
777382,2025-06-23,Leadoff_2nd_PA,Slider
777382,2025-06-23,Inning_3_leadoff,4-Seam Fastball
777382,2025-06-23,Inning_2_leadoff,Cutter
777382,2025-06-23,Batter_3,Cutter
777382,2025-06-23,Batter_2,Slider
777312,2025-06-29,Leadoff_2nd_PA,Slider
777312,2025-06-29,Inning_3_leadoff,Slider
777312,2025-06-29,Inning_2_leadoff,Sweeper
777312,2025-06-29,Batter_3,4-Seam Fastball
777312,2025-06-29,Batter_2,4-Seam Fastball
