bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,66.7
Batter_1,Cutter,2,11.1
Batter_1,Sinker,3,16.7
Batter_1,Slider,1,5.6
Batter_2,4-Seam Fastball,6,33.3
Batter_2,Changeup,2,11.1
Batter_2,Cutter,2,11.1
Batter_2,Sinker,6,33.3
Batter_2,Slider,1,5.6
Batter_2,Sweeper,1,5.6
Batter_3,4-Seam Fastball,8,44.4
Batter_3,Cutter,3,16.7
Batter_3,Sinker,1,5.6
Batter_3,Slider,5,27.8
Batter_3,Sweeper,1,5.6
Inning_2_leadoff,4-Seam Fastball,5,27.8
Inning_2_leadoff,Changeup,1,5.6
Inning_2_leadoff,Cutter,4,22.2
Inning_2_leadoff,Sinker,3,16.7
Inning_2_leadoff,Slider,2,11.1
Inning_2_leadoff,Sweeper,3,16.7
Inning_3_leadoff,4-Seam Fastball,6,33.3
Inning_3_leadoff,Cutter,3,16.7
Inning_3_leadoff,Sinker,6,33.3
Inning_3_leadoff,Slider,3,16.7
