game_pk,game_date,bucket,pitch_name
778467,2025-04-03,Inning_3_leadoff,SI
778467,2025-04-03,Inning_2_leadoff,FC
778467,2025-04-03,Batter_3,FC
778467,2025-04-03,Batter_2,FC
778393,2025-04-09,Inning_3_leadoff,SI
778393,2025-04-09,Inning_2_leadoff,CU
778393,2025-04-09,Batter_3,FC
778393,2025-04-09,Batter_2,FC
778320,2025-04-14,Inning_3_leadoff,FC
778320,2025-04-14,Inning_2_leadoff,FF
778320,2025-04-14,Batter_3,FF
778320,2025-04-14,Batter_2,SL
778252,2025-04-19,Inning_3_leadoff,FS
778252,2025-04-19,Inning_2_leadoff,FS
778252,2025-04-19,Batter_3,SI
778252,2025-04-19,Batter_2,FF
778182,2025-04-25,Inning_3_leadoff,FF
778182,2025-04-25,Inning_2_leadoff,FS
778182,2025-04-25,Batter_3,FF
778182,2025-04-25,Batter_2,FF
778099,2025-05-01,Inning_3_leadoff,FS
778099,2025-05-01,Inning_2_leadoff,FC
778099,2025-05-01,Batter_3,FC
778099,2025-05-01,Batter_2,SL
777823,2025-05-21,Inning_3_leadoff,CU
777823,2025-05-21,Inning_2_leadoff,SI
777823,2025-05-21,Batter_3,FC
777823,2025-05-21,Batter_2,FC
777715,2025-05-30,Inning_3_leadoff,CU
777715,2025-05-30,Inning_2_leadoff,SI
777715,2025-05-30,Batter_3,FC
777715,2025-05-30,Batter_2,SI
