bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,72.2
Batter_1,Sinker,5,27.8
Batter_2,4-Seam Fastball,2,11.1
Batter_2,Cutter,11,61.1
Batter_2,Sinker,3,16.7
Batter_2,Slider,2,11.1
Batter_3,4-Seam Fastball,4,22.2
Batter_3,Curveball,1,5.6
Batter_3,Cutter,8,44.4
Batter_3,Sinker,3,16.7
Batter_3,Split-Finger,2,11.1
Inning_2_leadoff,4-Seam Fastball,1,5.6
Inning_2_leadoff,Curveball,2,11.1
Inning_2_leadoff,Cutter,9,50.0
Inning_2_leadoff,Sinker,4,22.2
Inning_2_leadoff,Split-Finger,2,11.1
Inning_3_leadoff,4-Seam Fastball,2,11.1
Inning_3_leadoff,Curveball,6,33.3
Inning_3_leadoff,Cutter,4,22.2
Inning_3_leadoff,Sinker,3,16.7
Inning_3_leadoff,Slider,1,5.6
Inning_3_leadoff,Split-Finger,2,11.1
