bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,14,93.3
Batter_1,Cutter,1,6.7
Batter_2,4-Seam Fastball,11,73.3
Batter_2,Curveball,1,6.7
Batter_2,Cutter,1,6.7
Batter_2,Split-Finger,2,13.3
Batter_3,4-Seam Fastball,8,53.3
Batter_3,Curveball,2,13.3
Batter_3,Cutter,3,20.0
Batter_3,Split-Finger,2,13.3
Inning_2_leadoff,4-Seam Fastball,11,73.3
Inning_2_leadoff,Curveball,2,13.3
Inning_2_leadoff,Cutter,2,13.3
Inning_3_leadoff,4-Seam Fastball,11,73.3
Inning_3_leadoff,Curveball,1,6.7
Inning_3_leadoff,Cutter,2,13.3
Inning_3_leadoff,Split-Finger,1,6.7
