game_pk,game_date,bucket,pitch_name
823163,2026-03-26,Inning_3_leadoff,4-Seam Fastball
823163,2026-03-26,Inning_2_leadoff,Cutter
823163,2026-03-26,Batter_3,Sinker
823163,2026-03-26,Batter_2,Cutter
823163,2026-03-26,Batter_1,4-Seam Fastball
823969,2026-03-31,Inning_3_leadoff,4-Seam Fastball
823969,2026-03-31,Inning_2_leadoff,4-Seam Fastball
823969,2026-03-31,Batter_3,4-Seam Fastball
823969,2026-03-31,Batter_2,Cutter
823969,2026-03-31,Batter_1,4-Seam Fastball
824456,2026-04-06,Inning_3_leadoff,4-Seam Fastball
824456,2026-04-06,Inning_2_leadoff,Cutter
824456,2026-04-06,Batter_3,4-Seam Fastball
824456,2026-04-06,Batter_2,4-Seam Fastball
824456,2026-04-06,Batter_1,4-Seam Fastball
824938,2026-04-12,Inning_3_leadoff,Curveball
824938,2026-04-12,Inning_2_leadoff,4-Seam Fastball
824938,2026-04-12,Batter_3,Sinker
824938,2026-04-12,Batter_2,Changeup
824938,2026-04-12,Batter_1,Sinker
824454,2026-04-17,Inning_3_leadoff,Changeup
824454,2026-04-17,Inning_2_leadoff,Cutter
824454,2026-04-17,Batter_3,Sweeper
824454,2026-04-17,Batter_2,Sinker
824454,2026-04-17,Batter_1,4-Seam Fastball
824449,2026-04-22,Inning_3_leadoff,Curveball
824449,2026-04-22,Inning_2_leadoff,4-Seam Fastball
824449,2026-04-22,Batter_3,Cutter
824449,2026-04-22,Batter_2,Changeup
824449,2026-04-22,Batter_1,Cutter
824447,2026-04-28,Inning_3_leadoff,4-Seam Fastball
824447,2026-04-28,Inning_2_leadoff,Cutter
824447,2026-04-28,Batter_3,4-Seam Fastball
824447,2026-04-28,Batter_2,Cutter
824447,2026-04-28,Batter_1,4-Seam Fastball
824120,2026-05-04,Inning_3_leadoff,4-Seam Fastball
824120,2026-05-04,Inning_2_leadoff,Cutter
824120,2026-05-04,Batter_3,Cutter
824120,2026-05-04,Batter_2,Sinker
824120,2026-05-04,Batter_1,Sinker
824444,2026-05-09,Inning_3_leadoff,Cutter
824444,2026-05-09,Inning_2_leadoff,Sinker
824444,2026-05-09,Batter_3,4-Seam Fastball
824444,2026-05-09,Batter_2,Sinker
824444,2026-05-09,Batter_1,4-Seam Fastball
824439,2026-05-15,Inning_3_leadoff,4-Seam Fastball
824439,2026-05-15,Inning_2_leadoff,Changeup
824439,2026-05-15,Batter_3,4-Seam Fastball
824439,2026-05-15,Batter_2,Sinker
824439,2026-05-15,Batter_1,4-Seam Fastball
824273,2026-05-20,Inning_3_leadoff,Curveball
824273,2026-05-20,Inning_2_leadoff,Changeup
824273,2026-05-20,Batter_3,Curveball
824273,2026-05-20,Batter_2,Cutter
824273,2026-05-20,Batter_1,4-Seam Fastball
824437,2026-05-25,Inning_3_leadoff,Sinker
824437,2026-05-25,Inning_2_leadoff,Cutter
824437,2026-05-25,Batter_3,4-Seam Fastball
824437,2026-05-25,Batter_2,4-Seam Fastball
824437,2026-05-25,Batter_1,Curveball
824430,2026-05-31,Inning_3_leadoff,4-Seam Fastball
824430,2026-05-31,Inning_2_leadoff,Cutter
824430,2026-05-31,Batter_3,Curveball
824430,2026-05-31,Batter_2,Cutter
824430,2026-05-31,Batter_1,Sinker
822891,2026-06-06,Inning_3_leadoff,Cutter
822891,2026-06-06,Inning_2_leadoff,Cutter
822891,2026-06-06,Batter_3,Cutter
822891,2026-06-06,Batter_2,Cutter
822891,2026-06-06,Batter_1,4-Seam Fastball
824425,2026-06-12,Inning_3_leadoff,Sinker
824425,2026-06-12,Inning_2_leadoff,Cutter
824425,2026-06-12,Batter_3,Cutter
824425,2026-06-12,Batter_2,Sinker
824425,2026-06-12,Batter_1,Sinker
824179,2026-06-19,Inning_3_leadoff,Cutter
824179,2026-06-19,Inning_2_leadoff,Sinker
824179,2026-06-19,Batter_3,Sinker
824179,2026-06-19,Batter_2,4-Seam Fastball
824179,2026-06-19,Batter_1,Sinker
824583,2026-06-24,Inning_3_leadoff,Curveball
824583,2026-06-24,Inning_2_leadoff,Cutter
824583,2026-06-24,Batter_3,Cutter
824583,2026-06-24,Batter_2,Cutter
824583,2026-06-24,Batter_1,Sinker
