bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,47.4
Batter_1,Curveball,1,5.3
Batter_1,Cutter,2,10.5
Batter_1,Sinker,7,36.8
Batter_2,4-Seam Fastball,3,15.8
Batter_2,Changeup,2,10.5
Batter_2,Cutter,7,36.8
Batter_2,Sinker,7,36.8
Batter_3,4-Seam Fastball,6,31.6
Batter_3,Curveball,2,10.5
Batter_3,Cutter,7,36.8
Batter_3,Sinker,3,15.8
Batter_3,Sweeper,1,5.3
Inning_2_leadoff,4-Seam Fastball,3,15.8
Inning_2_leadoff,Changeup,2,10.5
Inning_2_leadoff,Cutter,10,52.6
Inning_2_leadoff,Sinker,4,21.1
Inning_3_leadoff,4-Seam Fastball,7,36.8
Inning_3_leadoff,Changeup,1,5.3
Inning_3_leadoff,Curveball,4,21.1
Inning_3_leadoff,Cutter,4,21.1
Inning_3_leadoff,Sinker,3,15.8
