game_pk,game_date,bucket,pitch_name
778546,2025-03-27,Inning_3_leadoff,Slider
778546,2025-03-27,Inning_2_leadoff,4-Seam Fastball
778546,2025-03-27,Batter_3,4-Seam Fastball
778546,2025-03-27,Batter_2,4-Seam Fastball
778546,2025-03-27,Batter_1,4-Seam Fastball
778469,2025-04-02,Inning_3_leadoff,4-Seam Fastball
778469,2025-04-02,Inning_2_leadoff,4-Seam Fastball
778469,2025-04-02,Batter_3,Changeup
778469,2025-04-02,Batter_2,Changeup
778469,2025-04-02,Batter_1,4-Seam Fastball
778403,2025-04-08,Inning_3_leadoff,Sinker
778403,2025-04-08,Inning_2_leadoff,Slider
778403,2025-04-08,Batter_3,Changeup
778403,2025-04-08,Batter_2,Sinker
778403,2025-04-08,Batter_1,4-Seam Fastball
778323,2025-04-14,Inning_3_leadoff,Sinker
778323,2025-04-14,Inning_2_leadoff,Slider
778323,2025-04-14,Batter_3,Knuckle Curve
778323,2025-04-14,Batter_2,Sinker
778323,2025-04-14,Batter_1,4-Seam Fastball
778246,2025-04-20,Inning_3_leadoff,Sinker
778246,2025-04-20,Inning_2_leadoff,Sinker
778246,2025-04-20,Batter_3,Sinker
778246,2025-04-20,Batter_2,4-Seam Fastball
778246,2025-04-20,Batter_1,Sinker
778155,2025-04-27,Inning_3_leadoff,Slider
778155,2025-04-27,Inning_2_leadoff,Sinker
778155,2025-04-27,Batter_3,Slider
778155,2025-04-27,Batter_2,Slider
778155,2025-04-27,Batter_1,Sinker
778085,2025-05-02,Inning_3_leadoff,Sinker
778085,2025-05-02,Inning_2_leadoff,Sinker
778085,2025-05-02,Batter_3,Changeup
778085,2025-05-02,Batter_2,Sinker
778085,2025-05-02,Batter_1,4-Seam Fastball
777996,2025-05-09,Inning_3_leadoff,Sinker
777996,2025-05-09,Inning_2_leadoff,Sinker
777996,2025-05-09,Batter_3,4-Seam Fastball
777996,2025-05-09,Batter_2,Slider
777996,2025-05-09,Batter_1,Sinker
777927,2025-05-14,Inning_3_leadoff,Changeup
777927,2025-05-14,Inning_2_leadoff,Slider
777927,2025-05-14,Batter_3,4-Seam Fastball
777927,2025-05-14,Batter_2,Sinker
777927,2025-05-14,Batter_1,Sinker
777840,2025-05-20,Inning_3_leadoff,4-Seam Fastball
777840,2025-05-20,Inning_2_leadoff,4-Seam Fastball
777840,2025-05-20,Batter_3,Slider
777840,2025-05-20,Batter_2,4-Seam Fastball
777840,2025-05-20,Batter_1,4-Seam Fastball
777780,2025-05-25,Inning_3_leadoff,4-Seam Fastball
777780,2025-05-25,Inning_2_leadoff,4-Seam Fastball
777780,2025-05-25,Batter_3,4-Seam Fastball
777780,2025-05-25,Batter_2,Sinker
777780,2025-05-25,Batter_1,Sinker
777694,2025-05-31,Inning_3_leadoff,Sinker
777694,2025-05-31,Inning_2_leadoff,Slider
777694,2025-05-31,Batter_3,Sinker
777694,2025-05-31,Batter_2,Sinker
777694,2025-05-31,Batter_1,Sinker
777626,2025-06-06,Inning_3_leadoff,Sinker
777626,2025-06-06,Inning_2_leadoff,Sinker
777626,2025-06-06,Batter_3,Sinker
777626,2025-06-06,Batter_2,Sinker
777626,2025-06-06,Batter_1,4-Seam Fastball
777540,2025-06-12,Inning_3_leadoff,Knuckle Curve
777540,2025-06-12,Inning_2_leadoff,Sinker
777540,2025-06-12,Batter_3,Sinker
777540,2025-06-12,Batter_2,Slider
777540,2025-06-12,Batter_1,Sinker
777451,2025-06-19,Inning_3_leadoff,4-Seam Fastball
777451,2025-06-19,Inning_2_leadoff,Sinker
777451,2025-06-19,Batter_3,Sinker
777451,2025-06-19,Batter_2,4-Seam Fastball
777451,2025-06-19,Batter_1,Sinker
777386,2025-06-24,Inning_3_leadoff,Slider
777386,2025-06-24,Inning_2_leadoff,Sinker
777386,2025-06-24,Batter_3,4-Seam Fastball
777386,2025-06-24,Batter_2,4-Seam Fastball
777386,2025-06-24,Batter_1,4-Seam Fastball
777314,2025-06-29,Inning_3_leadoff,Slider
777314,2025-06-29,Inning_2_leadoff,Sinker
777314,2025-06-29,Batter_3,4-Seam Fastball
777314,2025-06-29,Batter_2,Sinker
777314,2025-06-29,Batter_1,Changeup
777226,2025-07-06,Inning_3_leadoff,Sinker
777226,2025-07-06,Inning_2_leadoff,4-Seam Fastball
777226,2025-07-06,Batter_3,4-Seam Fastball
777226,2025-07-06,Batter_2,Slider
777226,2025-07-06,Batter_1,Sinker
777161,2025-07-11,Inning_3_leadoff,Sinker
777161,2025-07-11,Inning_2_leadoff,Sinker
777161,2025-07-11,Batter_3,4-Seam Fastball
777161,2025-07-11,Batter_2,Sinker
777161,2025-07-11,Batter_1,Sinker
777073,2025-07-20,Inning_3_leadoff,Sinker
777073,2025-07-20,Inning_2_leadoff,Slider
777073,2025-07-20,Batter_3,Sinker
777073,2025-07-20,Batter_2,Sinker
777073,2025-07-20,Batter_1,4-Seam Fastball
777003,2025-07-26,Inning_3_leadoff,Changeup
777003,2025-07-26,Inning_2_leadoff,Sinker
777003,2025-07-26,Batter_3,Changeup
777003,2025-07-26,Batter_2,4-Seam Fastball
777003,2025-07-26,Batter_1,Sinker
776912,2025-08-02,Inning_3_leadoff,Sinker
776912,2025-08-02,Inning_2_leadoff,Changeup
776912,2025-08-02,Batter_3,Sinker
776912,2025-08-02,Batter_2,Slider
776912,2025-08-02,Batter_1,4-Seam Fastball
776832,2025-08-08,Inning_3_leadoff,Sinker
776832,2025-08-08,Inning_2_leadoff,4-Seam Fastball
776832,2025-08-08,Batter_3,Changeup
776832,2025-08-08,Batter_2,Sinker
776832,2025-08-08,Batter_1,Sinker
776744,2025-08-14,Inning_3_leadoff,Sinker
776744,2025-08-14,Inning_2_leadoff,4-Seam Fastball
776744,2025-08-14,Batter_3,4-Seam Fastball
776744,2025-08-14,Batter_2,4-Seam Fastball
776744,2025-08-14,Batter_1,4-Seam Fastball
776685,2025-08-19,Inning_3_leadoff,4-Seam Fastball
776685,2025-08-19,Inning_2_leadoff,4-Seam Fastball
776685,2025-08-19,Batter_3,Changeup
776685,2025-08-19,Batter_2,4-Seam Fastball
776685,2025-08-19,Batter_1,Sinker
776590,2025-08-25,Inning_3_leadoff,Slider
776590,2025-08-25,Inning_2_leadoff,Slider
776590,2025-08-25,Batter_3,Sinker
776590,2025-08-25,Batter_2,Slider
776590,2025-08-25,Batter_1,Changeup
776512,2025-08-31,Inning_3_leadoff,4-Seam Fastball
776512,2025-08-31,Inning_2_leadoff,4-Seam Fastball
776512,2025-08-31,Batter_3,Sinker
776512,2025-08-31,Batter_2,4-Seam Fastball
776512,2025-08-31,Batter_1,4-Seam Fastball
776435,2025-09-06,Inning_3_leadoff,Changeup
776435,2025-09-06,Inning_2_leadoff,4-Seam Fastball
776435,2025-09-06,Batter_3,Slider
776435,2025-09-06,Batter_2,4-Seam Fastball
776435,2025-09-06,Batter_1,Sinker
776366,2025-09-12,Inning_3_leadoff,Slider
776366,2025-09-12,Inning_2_leadoff,Changeup
776366,2025-09-12,Batter_3,Sinker
776366,2025-09-12,Batter_2,Changeup
776366,2025-09-12,Batter_1,4-Seam Fastball
776275,2025-09-18,Inning_3_leadoff,Slider
776275,2025-09-18,Inning_2_leadoff,Changeup
776275,2025-09-18,Batter_3,Changeup
776275,2025-09-18,Batter_2,Slider
776275,2025-09-18,Batter_1,4-Seam Fastball
776218,2025-09-23,Inning_3_leadoff,Sinker
776218,2025-09-23,Inning_2_leadoff,4-Seam Fastball
776218,2025-09-23,Batter_3,Changeup
776218,2025-09-23,Batter_2,4-Seam Fastball
776218,2025-09-23,Batter_1,Sinker
