bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,44.0
Batter_1,Changeup,1,4.0
Batter_1,Sinker,13,52.0
Batter_2,4-Seam Fastball,8,32.0
Batter_2,Changeup,1,4.0
Batter_2,Sinker,11,44.0
Batter_2,Slider,5,20.0
Batter_3,4-Seam Fastball,9,36.0
Batter_3,Changeup,6,24.0
Batter_3,Knuckle Curve,1,4.0
Batter_3,Sinker,7,28.0
Batter_3,Slider,2,8.0
Inning_2_leadoff,4-Seam Fastball,8,32.0
Inning_2_leadoff,Changeup,1,4.0
Inning_2_leadoff,Sinker,11,44.0
Inning_2_leadoff,Slider,5,20.0
Inning_3_leadoff,4-Seam Fastball,5,20.0
Inning_3_leadoff,Changeup,2,8.0
Inning_3_leadoff,Knuckle Curve,1,4.0
Inning_3_leadoff,Sinker,13,52.0
Inning_3_leadoff,Slider,4,16.0
