bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,25,100.0
Batter_2,4-Seam Fastball,20,80.0
Batter_2,Changeup,1,4.0
Batter_2,Cutter,1,4.0
Batter_2,Sinker,3,12.0
Batter_3,4-Seam Fastball,11,44.0
Batter_3,Changeup,2,8.0
Batter_3,Cutter,6,24.0
Batter_3,Sinker,4,16.0
Batter_3,Sweeper,2,8.0
Inning_2_leadoff,4-Seam Fastball,17,68.0
Inning_2_leadoff,Changeup,2,8.0
Inning_2_leadoff,Cutter,2,8.0
Inning_2_leadoff,Sinker,4,16.0
Inning_3_leadoff,4-Seam Fastball,13,54.2
Inning_3_leadoff,Changeup,3,12.5
Inning_3_leadoff,Cutter,4,16.7
Inning_3_leadoff,Sinker,2,8.3
Inning_3_leadoff,Sweeper,2,8.3
