game_pk,game_date,bucket,pitch_name
778491,2025-04-01,Inning_3_leadoff,FF
778491,2025-04-01,Inning_2_leadoff,SI
778491,2025-04-01,Batter_3,SL
778491,2025-04-01,Batter_2,SI
778429,2025-04-06,Inning_3_leadoff,ST
778429,2025-04-06,Inning_2_leadoff,SL
778429,2025-04-06,Batter_3,SL
778429,2025-04-06,Batter_2,FF
778354,2025-04-12,Inning_3_leadoff,FF
778354,2025-04-12,Inning_2_leadoff,CH
778354,2025-04-12,Batter_3,FF
778354,2025-04-12,Batter_2,SI
778280,2025-04-17,Inning_3_leadoff,FF
778280,2025-04-17,Inning_2_leadoff,FF
778280,2025-04-17,Batter_3,ST
778280,2025-04-17,Batter_2,SI
778204,2025-04-23,Inning_3_leadoff,SL
778204,2025-04-23,Inning_2_leadoff,FF
778204,2025-04-23,Batter_3,SL
778204,2025-04-23,Batter_2,SI
778138,2025-04-28,Inning_3_leadoff,ST
778138,2025-04-28,Inning_2_leadoff,ST
778138,2025-04-28,Batter_3,ST
778138,2025-04-28,Batter_2,SI
778077,2025-05-03,Inning_3_leadoff,SL
778077,2025-05-03,Inning_2_leadoff,CH
778077,2025-05-03,Batter_3,CH
778077,2025-05-03,Batter_2,FF
777980,2025-05-10,Inning_3_leadoff,FF
777980,2025-05-10,Inning_2_leadoff,ST
777980,2025-05-10,Batter_3,SL
777980,2025-05-10,Batter_2,FF
777909,2025-05-15,Inning_3_leadoff,FF
777909,2025-05-15,Inning_2_leadoff,SL
777909,2025-05-15,Batter_3,FF
777909,2025-05-15,Batter_2,FF
777820,2025-05-22,Inning_3_leadoff,FF
777820,2025-05-22,Inning_2_leadoff,FF
777820,2025-05-22,Batter_3,SL
777820,2025-05-22,Batter_2,FF
777730,2025-05-28,Inning_3_leadoff,ST
777730,2025-05-28,Inning_2_leadoff,FF
777730,2025-05-28,Batter_3,ST
777730,2025-05-28,Batter_2,FF
777659,2025-06-03,Inning_3_leadoff,ST
777659,2025-06-03,Inning_2_leadoff,FF
777659,2025-06-03,Batter_3,FF
777659,2025-06-03,Batter_2,SI
777596,2025-06-08,Inning_3_leadoff,SL
777596,2025-06-08,Inning_2_leadoff,FF
777596,2025-06-08,Batter_3,CH
777596,2025-06-08,Batter_2,FF
777514,2025-06-14,Inning_3_leadoff,FF
777514,2025-06-14,Inning_2_leadoff,SL
777514,2025-06-14,Batter_3,FF
777514,2025-06-14,Batter_2,SL
777445,2025-06-19,Inning_3_leadoff,ST
777445,2025-06-19,Inning_2_leadoff,ST
777445,2025-06-19,Batter_3,FF
777445,2025-06-19,Batter_2,FF
777372,2025-06-24,Inning_3_leadoff,FF
777372,2025-06-24,Inning_2_leadoff,FF
777372,2025-06-24,Batter_3,SL
777372,2025-06-24,Batter_2,FF
