game_pk,game_date,bucket,pitch_name
823555,2026-05-03,Inning_3_leadoff,Sinker
823555,2026-05-03,Inning_2_leadoff,Cutter
823555,2026-05-03,Batter_3,Cutter
823555,2026-05-03,Batter_2,Curveball
823555,2026-05-03,Batter_1,4-Seam Fastball
824836,2026-05-27,Inning_3_leadoff,Curveball
824836,2026-05-27,Inning_2_leadoff,Sinker
824836,2026-05-27,Batter_3,4-Seam Fastball
824836,2026-05-27,Batter_2,Sinker
824836,2026-05-27,Batter_1,4-Seam Fastball
824829,2026-06-08,Inning_3_leadoff,Sinker
824829,2026-06-08,Inning_2_leadoff,Sinker
824829,2026-06-08,Batter_3,Cutter
824829,2026-06-08,Batter_2,Cutter
824829,2026-06-08,Batter_1,4-Seam Fastball
824828,2026-06-13,Inning_3_leadoff,Sinker
824828,2026-06-13,Inning_2_leadoff,Sinker
824828,2026-06-13,Batter_3,Sinker
824828,2026-06-13,Batter_2,Cutter
824828,2026-06-13,Batter_1,Sinker
823936,2026-06-19,Inning_3_leadoff,Sinker
823936,2026-06-19,Inning_2_leadoff,4-Seam Fastball
823936,2026-06-19,Batter_3,Curveball
823936,2026-06-19,Batter_2,Sinker
823936,2026-06-19,Batter_1,4-Seam Fastball
824018,2026-06-24,Inning_3_leadoff,Sinker
824018,2026-06-24,Inning_2_leadoff,Sinker
824018,2026-06-24,Batter_3,4-Seam Fastball
824018,2026-06-24,Batter_2,Sinker
824018,2026-06-24,Batter_1,Cutter
824819,2026-06-30,Inning_3_leadoff,4-Seam Fastball
824819,2026-06-30,Inning_2_leadoff,4-Seam Fastball
824819,2026-06-30,Batter_3,4-Seam Fastball
824819,2026-06-30,Batter_2,Cutter
824819,2026-06-30,Batter_1,4-Seam Fastball
