game_pk,game_date,bucket,pitch_name
822823,2026-04-28,Inning_3_leadoff,Split-Finger
822823,2026-04-28,Inning_2_leadoff,4-Seam Fastball
822823,2026-04-28,Batter_3,4-Seam Fastball
822823,2026-04-28,Batter_2,4-Seam Fastball
822823,2026-04-28,Batter_1,4-Seam Fastball
823711,2026-05-03,Inning_3_leadoff,4-Seam Fastball
823711,2026-05-03,Inning_2_leadoff,4-Seam Fastball
823711,2026-05-03,Batter_3,4-Seam Fastball
823711,2026-05-03,Batter_2,4-Seam Fastball
823711,2026-05-03,Batter_1,4-Seam Fastball
822820,2026-05-09,Inning_3_leadoff,4-Seam Fastball
822820,2026-05-09,Inning_2_leadoff,Slider
822820,2026-05-09,Batter_3,4-Seam Fastball
822820,2026-05-09,Batter_2,Slider
822820,2026-05-09,Batter_1,4-Seam Fastball
824280,2026-05-15,Inning_3_leadoff,4-Seam Fastball
824280,2026-05-15,Inning_2_leadoff,4-Seam Fastball
824280,2026-05-15,Batter_3,Split-Finger
824280,2026-05-15,Batter_2,4-Seam Fastball
824280,2026-05-15,Batter_1,4-Seam Fastball
823547,2026-05-20,Inning_3_leadoff,4-Seam Fastball
823547,2026-05-20,Inning_2_leadoff,Slider
823547,2026-05-20,Batter_3,4-Seam Fastball
823547,2026-05-20,Batter_2,Slider
823547,2026-05-20,Batter_1,4-Seam Fastball
822812,2026-05-25,Inning_3_leadoff,4-Seam Fastball
822812,2026-05-25,Inning_2_leadoff,4-Seam Fastball
822812,2026-05-25,Batter_3,Slider
822812,2026-05-25,Batter_2,Split-Finger
822812,2026-05-25,Batter_1,4-Seam Fastball
824833,2026-05-30,Inning_3_leadoff,4-Seam Fastball
824833,2026-05-30,Inning_2_leadoff,4-Seam Fastball
824833,2026-05-30,Batter_3,4-Seam Fastball
824833,2026-05-30,Batter_2,Split-Finger
824833,2026-05-30,Batter_1,4-Seam Fastball
822810,2026-06-05,Inning_3_leadoff,4-Seam Fastball
822810,2026-06-05,Inning_2_leadoff,Slider
822810,2026-06-05,Batter_3,4-Seam Fastball
822810,2026-06-05,Batter_2,4-Seam Fastball
822810,2026-06-05,Batter_1,4-Seam Fastball
822803,2026-06-12,Inning_3_leadoff,4-Seam Fastball
822803,2026-06-12,Inning_2_leadoff,4-Seam Fastball
822803,2026-06-12,Batter_3,Slider
822803,2026-06-12,Batter_2,Slider
822803,2026-06-12,Batter_1,4-Seam Fastball
824748,2026-06-18,Inning_3_leadoff,4-Seam Fastball
824748,2026-06-18,Inning_2_leadoff,Slider
824748,2026-06-18,Batter_3,4-Seam Fastball
824748,2026-06-18,Batter_2,4-Seam Fastball
824748,2026-06-18,Batter_1,4-Seam Fastball
822798,2026-06-24,Inning_3_leadoff,4-Seam Fastball
822798,2026-06-24,Inning_2_leadoff,Slider
822798,2026-06-24,Batter_3,Slider
822798,2026-06-24,Batter_2,4-Seam Fastball
822798,2026-06-24,Batter_1,4-Seam Fastball
822792,2026-06-29,Inning_3_leadoff,Slider
822792,2026-06-29,Inning_2_leadoff,4-Seam Fastball
822792,2026-06-29,Batter_3,4-Seam Fastball
822792,2026-06-29,Batter_2,4-Seam Fastball
822792,2026-06-29,Batter_1,4-Seam Fastball
823117,2026-07-05,Inning_3_leadoff,Slider
823117,2026-07-05,Inning_2_leadoff,4-Seam Fastball
823117,2026-07-05,Batter_3,Split-Finger
823117,2026-07-05,Batter_2,Slider
823117,2026-07-05,Batter_1,4-Seam Fastball
