bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,81.2
Batter_1,Sinker,3,18.8
Batter_2,4-Seam Fastball,14,82.4
Batter_2,Curveball,2,11.8
Batter_2,Sinker,1,5.9
Batter_3,4-Seam Fastball,7,41.2
Batter_3,Curveball,2,11.8
Batter_3,Sinker,4,23.5
Batter_3,Slider,4,23.5
Inning_2_leadoff,4-Seam Fastball,9,56.2
Inning_2_leadoff,Curveball,2,12.5
Inning_2_leadoff,Sinker,1,6.2
Inning_2_leadoff,Slider,4,25.0
Inning_3_leadoff,4-Seam Fastball,11,68.8
Inning_3_leadoff,Sinker,3,18.8
Inning_3_leadoff,Slider,2,12.5
