game_pk,game_date,bucket,pitch_name
778531,2025-03-29,Inning_2_leadoff,FF
778531,2025-03-29,Batter_3,FF
778531,2025-03-29,Batter_2,FF
778454,2025-04-04,Inning_3_leadoff,SL
778454,2025-04-04,Inning_2_leadoff,FF
778454,2025-04-04,Batter_3,SL
778454,2025-04-04,Batter_2,FS
778385,2025-04-09,Inning_3_leadoff,SL
778385,2025-04-09,Inning_2_leadoff,SL
778385,2025-04-09,Batter_3,FF
778385,2025-04-09,Batter_2,FF
778306,2025-04-15,Inning_3_leadoff,FF
778306,2025-04-15,Inning_2_leadoff,SL
778306,2025-04-15,Batter_3,SL
778306,2025-04-15,Batter_2,FF
778234,2025-04-20,Inning_3_leadoff,FF
778234,2025-04-20,Inning_2_leadoff,FS
778234,2025-04-20,Batter_3,FF
778234,2025-04-20,Batter_2,FF
778159,2025-04-26,Inning_3_leadoff,FS
778159,2025-04-26,Inning_2_leadoff,FC
778159,2025-04-26,Batter_3,FF
778159,2025-04-26,Batter_2,FF
778096,2025-05-01,Inning_3_leadoff,FC
778096,2025-05-01,Inning_2_leadoff,FF
778096,2025-05-01,Batter_3,FS
778096,2025-05-01,Batter_2,FF
778018,2025-05-07,Inning_3_leadoff,FF
778018,2025-05-07,Inning_2_leadoff,FF
778018,2025-05-07,Batter_3,FC
778018,2025-05-07,Batter_2,FF
777949,2025-05-12,Inning_3_leadoff,SL
777949,2025-05-12,Inning_2_leadoff,FF
777949,2025-05-12,Batter_3,FF
777949,2025-05-12,Batter_2,SL
777882,2025-05-17,Inning_3_leadoff,SL
777882,2025-05-17,Inning_2_leadoff,SL
777882,2025-05-17,Batter_3,SL
777882,2025-05-17,Batter_2,FF
777805,2025-05-23,Inning_3_leadoff,FF
777805,2025-05-23,Inning_2_leadoff,FF
777805,2025-05-23,Batter_3,FF
777805,2025-05-23,Batter_2,FF
777724,2025-05-28,Inning_3_leadoff,FF
777724,2025-05-28,Inning_2_leadoff,FF
777724,2025-05-28,Batter_3,FF
777724,2025-05-28,Batter_2,FF
777662,2025-06-03,Inning_3_leadoff,FS
777662,2025-06-03,Inning_2_leadoff,SL
777662,2025-06-03,Batter_3,SL
777662,2025-06-03,Batter_2,FS
777557,2025-06-10,Inning_3_leadoff,FF
777557,2025-06-10,Inning_2_leadoff,FC
777557,2025-06-10,Batter_3,FF
777557,2025-06-10,Batter_2,FC
