bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,17,85.0
Batter_1,Cutter,2,10.0
Batter_1,Split-Finger,1,5.0
Batter_2,4-Seam Fastball,15,71.4
Batter_2,Cutter,5,23.8
Batter_2,Split-Finger,1,4.8
Batter_3,4-Seam Fastball,16,76.2
Batter_3,Cutter,2,9.5
Batter_3,Slider,1,4.8
Batter_3,Split-Finger,2,9.5
Inning_2_leadoff,4-Seam Fastball,12,57.1
Inning_2_leadoff,Cutter,5,23.8
Inning_2_leadoff,Slider,2,9.5
Inning_2_leadoff,Split-Finger,2,9.5
Inning_3_leadoff,4-Seam Fastball,12,57.1
Inning_3_leadoff,Cutter,5,23.8
Inning_3_leadoff,Slider,1,4.8
Inning_3_leadoff,Split-Finger,3,14.3
