game_pk,game_date,bucket,pitch_name
778518,2025-03-28,Inning_3_leadoff,SL
778518,2025-03-28,Inning_2_leadoff,FF
778518,2025-03-28,Batter_3,FF
778518,2025-03-28,Batter_2,FF
778465,2025-04-04,Inning_3_leadoff,SI
778465,2025-04-04,Inning_2_leadoff,FF
778465,2025-04-04,Batter_3,FF
778465,2025-04-04,Batter_2,SL
778390,2025-04-09,Inning_3_leadoff,SI
778390,2025-04-09,Inning_2_leadoff,SL
778390,2025-04-09,Batter_3,SL
778390,2025-04-09,Batter_2,SL
778307,2025-04-15,Inning_3_leadoff,SI
778307,2025-04-15,Inning_2_leadoff,SL
778307,2025-04-15,Batter_3,FF
778307,2025-04-15,Batter_2,FF
778225,2025-04-21,Inning_3_leadoff,SI
778225,2025-04-21,Inning_2_leadoff,SI
778225,2025-04-21,Batter_3,FF
778225,2025-04-21,Batter_2,FF
778153,2025-04-27,Inning_3_leadoff,SI
778153,2025-04-27,Inning_2_leadoff,SL
778153,2025-04-27,Batter_3,FF
778153,2025-04-27,Batter_2,FF
778068,2025-05-04,Inning_3_leadoff,FF
778068,2025-05-04,Inning_2_leadoff,FF
778068,2025-05-04,Batter_3,FF
778068,2025-05-04,Batter_2,FF
777982,2025-05-10,Inning_3_leadoff,SL
777982,2025-05-10,Inning_2_leadoff,SI
777982,2025-05-10,Batter_3,SI
777982,2025-05-10,Batter_2,FF
777904,2025-05-16,Inning_3_leadoff,FF
777904,2025-05-16,Inning_2_leadoff,CU
777904,2025-05-16,Batter_3,FF
777904,2025-05-16,Batter_2,SL
777831,2025-05-21,Inning_3_leadoff,FF
777831,2025-05-21,Inning_2_leadoff,FF
777831,2025-05-21,Batter_3,FF
777831,2025-05-21,Batter_2,CH
777749,2025-05-27,Inning_3_leadoff,FF
777749,2025-05-27,Inning_2_leadoff,CU
777749,2025-05-27,Batter_3,FF
777749,2025-05-27,Batter_2,FF
777657,2025-06-03,Inning_3_leadoff,FF
777657,2025-06-03,Inning_2_leadoff,FF
777657,2025-06-03,Batter_3,CU
777657,2025-06-03,Batter_2,FF
777583,2025-06-08,Inning_3_leadoff,SI
777583,2025-06-08,Inning_2_leadoff,FF
777583,2025-06-08,Batter_3,SL
777583,2025-06-08,Batter_2,FF
777518,2025-06-14,Inning_3_leadoff,FF
777518,2025-06-14,Inning_2_leadoff,SL
777518,2025-06-14,Batter_3,SL
777518,2025-06-14,Batter_2,FF
