bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,3,16.7
Batter_1,Sinker,15,83.3
Batter_2,4-Seam Fastball,4,22.2
Batter_2,Sinker,13,72.2
Batter_2,Sweeper,1,5.6
Batter_3,4-Seam Fastball,4,22.2
Batter_3,Changeup,2,11.1
Batter_3,Sinker,10,55.6
Batter_3,Sweeper,2,11.1
Inning_2_leadoff,4-Seam Fastball,8,44.4
Inning_2_leadoff,Changeup,4,22.2
Inning_2_leadoff,Sinker,2,11.1
Inning_2_leadoff,Sweeper,4,22.2
Inning_3_leadoff,4-Seam Fastball,3,16.7
Inning_3_leadoff,Changeup,3,16.7
Inning_3_leadoff,Sinker,11,61.1
Inning_3_leadoff,Sweeper,1,5.6
