bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,76.5
Batter_1,Cutter,1,5.9
Batter_1,Sinker,3,17.6
Batter_2,4-Seam Fastball,8,47.1
Batter_2,Cutter,3,17.6
Batter_2,Sinker,6,35.3
Batter_3,4-Seam Fastball,5,29.4
Batter_3,Cutter,4,23.5
Batter_3,Knuckle Curve,2,11.8
Batter_3,Sinker,4,23.5
Batter_3,Slider,2,11.8
Inning_2_leadoff,4-Seam Fastball,7,41.2
Inning_2_leadoff,Cutter,4,23.5
Inning_2_leadoff,Knuckle Curve,3,17.6
Inning_2_leadoff,Sinker,2,11.8
Inning_2_leadoff,Slider,1,5.9
Inning_3_leadoff,4-Seam Fastball,7,43.8
Inning_3_leadoff,Cutter,4,25.0
Inning_3_leadoff,Knuckle Curve,3,18.8
Inning_3_leadoff,Sinker,1,6.2
Inning_3_leadoff,Slider,1,6.2
