game_pk,game_date,bucket,pitch_name
823241,2026-03-28,Inning_3_leadoff,4-Seam Fastball
823241,2026-03-28,Inning_2_leadoff,Sinker
823241,2026-03-28,Batter_3,Sinker
823241,2026-03-28,Batter_2,Sinker
823241,2026-03-28,Batter_1,4-Seam Fastball
823568,2026-04-03,Inning_3_leadoff,Sweeper
823568,2026-04-03,Inning_2_leadoff,Sweeper
823568,2026-04-03,Batter_3,Sinker
823568,2026-04-03,Batter_2,4-Seam Fastball
823568,2026-04-03,Batter_1,4-Seam Fastball
823564,2026-04-08,Inning_3_leadoff,4-Seam Fastball
823564,2026-04-08,Inning_2_leadoff,4-Seam Fastball
823564,2026-04-08,Batter_3,Sweeper
823564,2026-04-08,Batter_2,Sinker
823564,2026-04-08,Batter_1,4-Seam Fastball
823563,2026-04-13,Inning_3_leadoff,Sinker
823563,2026-04-13,Inning_2_leadoff,Sweeper
823563,2026-04-13,Batter_3,4-Seam Fastball
823563,2026-04-13,Batter_2,Sweeper
823563,2026-04-13,Batter_1,Sinker
823558,2026-04-18,Inning_3_leadoff,4-Seam Fastball
823558,2026-04-18,Inning_2_leadoff,4-Seam Fastball
823558,2026-04-18,Batter_3,4-Seam Fastball
823558,2026-04-18,Batter_2,4-Seam Fastball
823558,2026-04-18,Batter_1,4-Seam Fastball
824204,2026-04-24,Inning_3_leadoff,Sinker
824204,2026-04-24,Inning_2_leadoff,4-Seam Fastball
824204,2026-04-24,Batter_3,Sinker
824204,2026-04-24,Batter_2,Sweeper
824204,2026-04-24,Batter_1,Sinker
823557,2026-05-01,Inning_3_leadoff,Sinker
823557,2026-05-01,Inning_2_leadoff,Sweeper
823557,2026-05-01,Batter_3,Sweeper
823557,2026-05-01,Batter_2,4-Seam Fastball
823557,2026-05-01,Batter_1,4-Seam Fastball
823550,2026-05-06,Inning_3_leadoff,4-Seam Fastball
823550,2026-05-06,Inning_2_leadoff,Sweeper
823550,2026-05-06,Batter_3,Sinker
823550,2026-05-06,Batter_2,Sinker
823550,2026-05-06,Batter_1,4-Seam Fastball
824843,2026-05-12,Inning_3_leadoff,Sinker
824843,2026-05-12,Inning_2_leadoff,Sweeper
824843,2026-05-12,Batter_3,4-Seam Fastball
824843,2026-05-12,Batter_2,4-Seam Fastball
824843,2026-05-12,Batter_1,4-Seam Fastball
823548,2026-05-19,Inning_3_leadoff,Sweeper
823548,2026-05-19,Inning_2_leadoff,Sweeper
823548,2026-05-19,Batter_3,Sinker
823548,2026-05-19,Batter_2,Sinker
823548,2026-05-19,Batter_1,Sinker
824107,2026-05-25,Inning_3_leadoff,4-Seam Fastball
824107,2026-05-25,Inning_2_leadoff,4-Seam Fastball
824107,2026-05-25,Batter_3,4-Seam Fastball
824107,2026-05-25,Batter_2,4-Seam Fastball
824107,2026-05-25,Batter_1,4-Seam Fastball
825001,2026-05-31,Inning_3_leadoff,Sinker
825001,2026-05-31,Inning_2_leadoff,4-Seam Fastball
825001,2026-05-31,Batter_3,4-Seam Fastball
825001,2026-05-31,Batter_2,Sweeper
825001,2026-05-31,Batter_1,4-Seam Fastball
824427,2026-06-08,Inning_3_leadoff,Sweeper
824427,2026-06-08,Inning_2_leadoff,Sweeper
824427,2026-06-08,Batter_3,Changeup
824427,2026-06-08,Batter_2,Sinker
824427,2026-06-08,Batter_1,4-Seam Fastball
