game_pk,game_date,bucket,pitch_name
778563,2025-03-18,Inning_3_leadoff,FS
778563,2025-03-18,Inning_2_leadoff,FF
778563,2025-03-18,Batter_3,CU
778563,2025-03-18,Batter_2,FF
778544,2025-03-28,Inning_3_leadoff,CU
778544,2025-03-28,Inning_2_leadoff,FF
778544,2025-03-28,Batter_3,CU
778544,2025-03-28,Batter_2,FF
778459,2025-04-04,Inning_3_leadoff,FF
778459,2025-04-04,Inning_2_leadoff,FF
778459,2025-04-04,Batter_3,FF
778459,2025-04-04,Batter_2,FF
778356,2025-04-11,Inning_3_leadoff,FF
778356,2025-04-11,Inning_2_leadoff,FF
778356,2025-04-11,Batter_3,CU
778356,2025-04-11,Batter_2,CU
778263,2025-04-18,Inning_3_leadoff,FF
778263,2025-04-18,Inning_2_leadoff,FF
778263,2025-04-18,Batter_3,FF
778263,2025-04-18,Batter_2,FS
778176,2025-04-25,Inning_3_leadoff,FF
778176,2025-04-25,Inning_2_leadoff,FF
778176,2025-04-25,Batter_3,FS
778176,2025-04-25,Batter_2,FF
778092,2025-05-02,Inning_3_leadoff,FF
778092,2025-05-02,Inning_2_leadoff,FF
778092,2025-05-02,Batter_3,FF
778092,2025-05-02,Batter_2,FF
777999,2025-05-08,Inning_3_leadoff,CU
777999,2025-05-08,Inning_2_leadoff,FF
777999,2025-05-08,Batter_3,CU
777999,2025-05-08,Batter_2,FF
777917,2025-05-14,Inning_3_leadoff,FF
777917,2025-05-14,Inning_2_leadoff,FF
777917,2025-05-14,Batter_3,FF
777917,2025-05-14,Batter_2,FF
777838,2025-05-20,Inning_3_leadoff,FF
777838,2025-05-20,Inning_2_leadoff,FF
777838,2025-05-20,Batter_3,FF
777838,2025-05-20,Batter_2,CU
777769,2025-05-26,Inning_3_leadoff,CU
777769,2025-05-26,Inning_2_leadoff,FF
777769,2025-05-26,Batter_3,FF
777769,2025-05-26,Batter_2,FF
777682,2025-06-01,Inning_3_leadoff,FF
777682,2025-06-01,Inning_2_leadoff,FF
777682,2025-06-01,Batter_3,FF
777682,2025-06-01,Batter_2,CU
777601,2025-06-07,Inning_3_leadoff,FF
777601,2025-06-07,Inning_2_leadoff,CU
777601,2025-06-07,Batter_3,FF
777601,2025-06-07,Batter_2,FF
777522,2025-06-13,Inning_3_leadoff,FF
777522,2025-06-13,Inning_2_leadoff,FF
777522,2025-06-13,Batter_3,FF
777522,2025-06-13,Batter_2,FF
777442,2025-06-19,Inning_3_leadoff,FF
777442,2025-06-19,Inning_2_leadoff,FF
777442,2025-06-19,Batter_3,CU
777442,2025-06-19,Batter_2,FF
777358,2025-06-25,Inning_3_leadoff,FF
777358,2025-06-25,Inning_2_leadoff,CU
777358,2025-06-25,Batter_3,FF
777358,2025-06-25,Batter_2,FC
