bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,7,46.7
Batter_1,Curveball,1,6.7
Batter_1,Cutter,2,13.3
Batter_1,Slider,1,6.7
Batter_1,Split-Finger,4,26.7
Batter_2,4-Seam Fastball,4,26.7
Batter_2,Curveball,2,13.3
Batter_2,Cutter,3,20.0
Batter_2,Sinker,4,26.7
Batter_2,Slider,1,6.7
Batter_2,Split-Finger,1,6.7
Batter_3,4-Seam Fastball,5,33.3
Batter_3,Curveball,3,20.0
Batter_3,Cutter,5,33.3
Batter_3,Split-Finger,2,13.3
Inning_2_leadoff,4-Seam Fastball,5,33.3
Inning_2_leadoff,Curveball,6,40.0
Inning_2_leadoff,Cutter,1,6.7
Inning_2_leadoff,Sinker,1,6.7
Inning_2_leadoff,Split-Finger,2,13.3
Inning_3_leadoff,4-Seam Fastball,4,26.7
Inning_3_leadoff,Curveball,3,20.0
Inning_3_leadoff,Cutter,1,6.7
Inning_3_leadoff,Sinker,4,26.7
Inning_3_leadoff,Slider,1,6.7
Inning_3_leadoff,Split-Finger,2,13.3
