bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,85.7
Batter_1,Cutter,1,14.3
Batter_2,4-Seam Fastball,1,14.3
Batter_2,Curveball,3,42.9
Batter_2,Slider,2,28.6
Batter_2,Split-Finger,1,14.3
Batter_3,4-Seam Fastball,2,28.6
Batter_3,Curveball,1,14.3
Batter_3,Cutter,1,14.3
Batter_3,Slider,2,28.6
Batter_3,Split-Finger,1,14.3
Inning_2_leadoff,4-Seam Fastball,7,100.0
Inning_3_leadoff,4-Seam Fastball,1,16.7
Inning_3_leadoff,Curveball,1,16.7
Inning_3_leadoff,Cutter,2,33.3
Inning_3_leadoff,Slider,2,33.3
