game_pk,game_date,bucket,pitch_name
823974,2026-03-26,Inning_3_leadoff,4-Seam Fastball
823974,2026-03-26,Inning_2_leadoff,4-Seam Fastball
823974,2026-03-26,Batter_3,4-Seam Fastball
823974,2026-03-26,Batter_2,Changeup
823974,2026-03-26,Batter_1,4-Seam Fastball
825106,2026-04-01,Inning_3_leadoff,Knuckle Curve
825106,2026-04-01,Inning_2_leadoff,4-Seam Fastball
825106,2026-04-01,Batter_3,4-Seam Fastball
825106,2026-04-01,Batter_2,Knuckle Curve
825106,2026-04-01,Batter_1,4-Seam Fastball
823648,2026-04-07,Inning_3_leadoff,4-Seam Fastball
823648,2026-04-07,Inning_2_leadoff,4-Seam Fastball
823648,2026-04-07,Batter_3,Changeup
823648,2026-04-07,Batter_2,Sinker
823648,2026-04-07,Batter_1,4-Seam Fastball
823479,2026-04-12,Inning_3_leadoff,4-Seam Fastball
823479,2026-04-12,Inning_2_leadoff,4-Seam Fastball
823479,2026-04-12,Batter_3,Knuckle Curve
823479,2026-04-12,Batter_2,4-Seam Fastball
823479,2026-04-12,Batter_1,4-Seam Fastball
825098,2026-04-18,Inning_3_leadoff,Slider
825098,2026-04-18,Inning_2_leadoff,Slider
825098,2026-04-18,Batter_3,Slider
825098,2026-04-18,Batter_2,4-Seam Fastball
825098,2026-04-18,Batter_1,4-Seam Fastball
825093,2026-04-25,Inning_3_leadoff,Slider
825093,2026-04-25,Inning_2_leadoff,4-Seam Fastball
825093,2026-04-25,Batter_3,Knuckle Curve
825093,2026-04-25,Batter_2,4-Seam Fastball
825093,2026-04-25,Batter_1,4-Seam Fastball
824686,2026-05-01,Inning_3_leadoff,Slider
824686,2026-05-01,Inning_2_leadoff,4-Seam Fastball
824686,2026-05-01,Batter_3,Slider
824686,2026-05-01,Batter_2,Changeup
824686,2026-05-01,Batter_1,4-Seam Fastball
825090,2026-05-07,Inning_3_leadoff,4-Seam Fastball
825090,2026-05-07,Inning_2_leadoff,Knuckle Curve
825090,2026-05-07,Batter_3,Knuckle Curve
825090,2026-05-07,Batter_2,4-Seam Fastball
825090,2026-05-07,Batter_1,4-Seam Fastball
822903,2026-05-12,Inning_3_leadoff,4-Seam Fastball
822903,2026-05-12,Inning_2_leadoff,4-Seam Fastball
822903,2026-05-12,Batter_3,Knuckle Curve
822903,2026-05-12,Batter_2,4-Seam Fastball
822903,2026-05-12,Batter_1,4-Seam Fastball
825087,2026-05-18,Inning_3_leadoff,4-Seam Fastball
825087,2026-05-18,Inning_2_leadoff,4-Seam Fastball
825087,2026-05-18,Batter_3,Slider
825087,2026-05-18,Batter_2,4-Seam Fastball
825087,2026-05-18,Batter_1,4-Seam Fastball
825080,2026-05-23,Inning_3_leadoff,4-Seam Fastball
825080,2026-05-23,Inning_2_leadoff,4-Seam Fastball
825080,2026-05-23,Batter_3,Knuckle Curve
825080,2026-05-23,Batter_2,4-Seam Fastball
825080,2026-05-23,Batter_1,4-Seam Fastball
823135,2026-05-29,Inning_3_leadoff,4-Seam Fastball
823135,2026-05-29,Inning_2_leadoff,4-Seam Fastball
823135,2026-05-29,Batter_3,4-Seam Fastball
823135,2026-05-29,Batter_2,4-Seam Fastball
823135,2026-05-29,Batter_1,4-Seam Fastball
825077,2026-06-03,Inning_3_leadoff,Slider
825077,2026-06-03,Inning_2_leadoff,4-Seam Fastball
825077,2026-06-03,Batter_3,Knuckle Curve
825077,2026-06-03,Batter_2,Slider
825077,2026-06-03,Batter_1,4-Seam Fastball
823858,2026-06-09,Inning_3_leadoff,4-Seam Fastball
823858,2026-06-09,Inning_2_leadoff,Knuckle Curve
823858,2026-06-09,Batter_3,Knuckle Curve
823858,2026-06-09,Batter_2,Slider
823858,2026-06-09,Batter_1,4-Seam Fastball
824506,2026-06-14,Inning_3_leadoff,4-Seam Fastball
824506,2026-06-14,Inning_2_leadoff,4-Seam Fastball
