bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,94.7
Batter_1,Sinker,1,5.3
Batter_2,4-Seam Fastball,11,57.9
Batter_2,Changeup,2,10.5
Batter_2,Knuckle Curve,1,5.3
Batter_2,Sinker,1,5.3
Batter_2,Slider,4,21.1
Batter_3,4-Seam Fastball,4,21.1
Batter_3,Changeup,1,5.3
Batter_3,Knuckle Curve,9,47.4
Batter_3,Sinker,1,5.3
Batter_3,Slider,4,21.1
Inning_2_leadoff,4-Seam Fastball,15,75.0
Inning_2_leadoff,Changeup,1,5.0
Inning_2_leadoff,Knuckle Curve,3,15.0
Inning_2_leadoff,Slider,1,5.0
Inning_3_leadoff,4-Seam Fastball,12,60.0
Inning_3_leadoff,Knuckle Curve,4,20.0
Inning_3_leadoff,Slider,4,20.0
