bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,4,30.8
Batter_1,Cutter,5,38.5
Batter_1,Sinker,4,30.8
Batter_2,4-Seam Fastball,2,15.4
Batter_2,Changeup,1,7.7
Batter_2,Curveball,2,15.4
Batter_2,Cutter,5,38.5
Batter_2,Sinker,2,15.4
Batter_2,Sweeper,1,7.7
Batter_3,4-Seam Fastball,1,7.7
Batter_3,Curveball,3,23.1
Batter_3,Cutter,4,30.8
Batter_3,Sinker,4,30.8
Batter_3,Sweeper,1,7.7
Inning_2_leadoff,4-Seam Fastball,1,8.3
Inning_2_leadoff,Curveball,3,25.0
Inning_2_leadoff,Cutter,4,33.3
Inning_2_leadoff,Sinker,3,25.0
Inning_2_leadoff,Sweeper,1,8.3
Inning_3_leadoff,4-Seam Fastball,1,8.3
Inning_3_leadoff,Cutter,6,50.0
Inning_3_leadoff,Sinker,4,33.3
Inning_3_leadoff,Sweeper,1,8.3
